0.0000000,0.000#0.120#0.140#0.110#0.100#0.150#0.090#0.160#0.080#0.060#0.070#0.040#0.220#0.230#0.020#0.030#0.180#0.190#0.250#0.010#0.960#0.910#0.270#0.290#0.720#0.500#0.510#0.490#0.680#0.390#0.620#0.700#0.410#0.470#0.520#0.630#0.330#0.650#0.420#0.580#0.600#0.400,3.000e+00,-00000430,000000506,1,000000003,000000312,000000000,000000000
-64,1,-1,1,-2,2,-1,1,2,-1,1,-1,1,1,2,1,5,4,2,3,1,2,2,1,2,-1,4,4,4,5,2,3,4,2,5,7,6,3,3,6,5,3,3,3,7,3,5,7,7,8,8,3,4,6,1,7,6,5,6,7,1,4,2,8,2,2,4,3,4,1,2,2,4,6,6,8,6,6,3,6,7,5,4,6,5,9,7,2,3,8,7,5,7,6,5,11,11,3,4,4,7,9,5,6,5,9,4,10,3,3,7,1,3,7,4,4,3,5,3,8,3,8,5,3,5,4,1,2,5,4,1,5,3,3,2,4,2,4,2,-1,3,1,1,1,-1,2,5,3,1,-4,1,-3,1,-3,1,-7,1,-78
-64,1,-1,1,-2,2,-1,1,2,-1,1,-1,1,1,2,1,4,5,2,3,1,2,2,1,2,-1,3,5,4,5,2,3,4,2,5,7,6,3,2,7,5,3,3,3,7,3,4,8,7,8,8,3,5,5,1,7,7,4,6,7,1,4,3,7,2,2,4,3,4,1,2,2,5,5,6,8,7,6,3,5,7,5,4,6,5,9,7,2,3,8,7,5,6,7,5,11,11,3,3,5,8,8,5,6,6,8,5,9,4,2,7,1,3,7,4,4,3,5,3,8,4,7,5,3,5,4,1,2,5,4,1,5,3,3,2,4,2,4,2,-1,3,1,1,1,-1,2,4,4,1,-4,1,-3,1,-3,1,-7,1,-78
-64,1,-2,1,-1,2,-1,1,2,-1,1,-1,1,1,1,2,3,6,2,3,-1,3,2,1,2,-1,4,4,3,6,3,1,4,3,4,8,5,4,3,6,5,3,1,5,7,3,8,3,8,8,5,6,5,4,4,5,5,6,5,8,1,4,2,7,3,2,3,4,4,1,2,2,4,5,8,7,6,6,3,6,7,5,3,7,6,6,8,3,3,8,6,5,7,6,6,11,10,4,4,4,7,9,5,5,6,9,6,8,3,3,7,1,3,7,5,3,3,5,4,7,5,6,4,4,4,5,1,2,5,3,4,3,4,2,1,4,3,4,-1,2,2,2,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-2,1,-1,2,-1,1,2,-1,1,-1,1,1,1,2,3,6,2,3,-1,3,2,1,2,-1,4,4,3,6,3,1,4,3,4,8,5,4,3,6,5,3,1,5,7,3,8,3,8,8,5,6,5,4,4,5,5,6,4,9,1,4,2,7,3,2,3,4,4,1,2,2,4,5,8,7,6,6,3,6,7,5,4,6,6,6,7,4,3,8,6,5,7,6,8,9,10,4,4,4,7,9,5,5,6,9,6,8,3,3,7,1,3,7,5,3,3,5,4,7,5,6,4,4,4,5,1,2,5,3,4,3,4,2,1,4,3,4,-1,2,2,2,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-1,1,-2,2,-1,1,2,-1,1,-1,1,1,2,1,4,5,2,3,1,2,2,1,2,-1,3,5,4,5,2,3,4,2,5,7,6,3,2,7,5,3,3,3,7,3,4,8,8,7,8,3,5,5,1,7,7,4,6,7,1,4,3,7,2,2,4,3,4,1,2,2,5,5,6,9,6,6,3,5,7,5,4,6,5,9,7,2,3,8,7,5,6,7,6,10,11,3,3,5,8,8,5,6,6,8,5,9,4,2,7,1,3,7,4,4,3,5,3,8,4,7,5,3,5,4,1,2,5,4,1,5,3,3,3,3,2,4,2,-1,3,1,1,1,-1,2,4,4,1,-4,1,-3,1,-3,1,-7,1,-78
-64,1,-1,1,-2,2,-1,1,2,-1,1,-1,1,1,2,1,4,5,2,3,1,2,2,1,2,-1,3,5,4,5,2,3,4,2,5,7,6,3,2,7,5,3,3,3,7,3,4,8,8,7,8,3,5,5,1,7,7,4,6,7,1,4,3,7,2,2,4,3,4,1,2,2,5,5,6,8,7,6,3,5,7,5,4,6,5,9,7,2,3,8,7,5,6,7,6,10,11,3,3,5,8,8,5,6,6,8,5,9,4,2,7,1,3,7,4,4,3,5,3,8,4,7,5,3,5,4,1,2,5,4,1,5,3,3,2,4,2,4,2,-1,3,1,1,1,-1,2,4,4,1,-4,1,-3,1,-3,1,-7,1,-78
-64,1,-2,1,-1,2,-1,1,2,-1,1,-1,1,1,1,2,3,6,2,3,-1,3,2,1,2,-1,4,4,4,5,3,1,5,2,5,7,5,4,3,6,5,3,1,5,8,2,7,4,9,7,5,6,4,6,3,5,5,6,5,8,1,4,2,7,3,2,3,4,4,1,2,2,5,4,8,7,6,6,3,6,7,5,3,7,6,7,7,3,3,8,6,5,7,6,7,10,10,4,4,4,7,9,5,5,6,9,5,9,3,3,7,1,3,7,4,4,3,5,4,7,4,7,4,4,4,5,1,2,5,3,4,3,3,3,3,3,2,4,1,1,3,1,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-2,1,-1,2,-1,1,2,-1,1,-1,1,1,1,2,3,6,2,3,-1,3,2,1,2,-1,4,4,4,5,3,1,5,2,5,7,5,4,3,6,5,3,1,5,8,2,7,4,8,8,5,6,4,5,4,5,5,6,5,8,1,4,2,7,3,2,3,4,4,1,2,2,5,4,8,7,6,6,3,6,7,5,3,7,6,7,7,3,3,8,6,5,7,6,6,11,10,4,4,4,7,9,5,5,6,9,5,9,3,3,7,1,3,7,4,4,3,5,4,7,4,7,4,4,4,5,1,2,5,3,4,3,3,3,3,2,3,4,1,1,3,1,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-2,1,-1,2,-1,1,1,1,1,-1,1,1,1,2,3,6,2,3,-1,3,2,1,2,-1,4,4,3,6,3,1,4,3,5,7,5,4,4,5,5,3,1,5,7,3,8,3,8,8,5,6,4,5,4,5,5,6,4,9,1,4,3,6,3,2,3,4,4,1,2,2,4,5,8,7,6,6,3,6,6,6,4,6,5,7,7,4,3,8,6,5,7,6,8,9,10,4,4,4,7,9,5,5,7,8,6,8,3,3,6,2,3,7,5,3,3,5,4,6,6,6,4,4,4,5,1,1,6,3,4,3,4,2,1,4,3,4,-1,2,2,2,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-1,1,-2,2,-1,1,2,-1,1,-1,1,1,2,1,4,5,3,2,1,2,2,1,2,-1,3,5,4,5,2,3,4,2,5,7,6,3,2,8,4,3,3,3,7,3,4,8,8,7,8,3,5,5,1,7,7,4,6,7,1,4,3,7,2,2,4,3,4,1,2,2,5,5,6,9,6,6,3,6,6,5,4,6,5,9,7,2,3,8,7,5,7,6,6,10,11,3,3,5,8,8,5,6,6,8,5,9,4,2,7,1,3,7,4,4,3,5,4,7,4,7,5,3,5,4,1,2,5,4,1,5,3,3,3,3,2,4,2,-1,3,1,1,1,-1,2,4,4,1,-4,1,-3,1,-3,1,-7,1,-78
-65,1,-1,1,2,-3,2,1,-1,1,1,1,1,2,4,4,2,3,3,1,-1,2,1,2,2,5,4,4,4,2,3,4,3,6,4,7,7,2,4,3,5,3,3,7,8,3,6,8,4,7,6,5,6,1,4,7,7,6,6,1,6,3,4,1,1,5,1,4,3,2,2,6,7,6,7,6,8,3,4,7,5,4,6,5,6,7,8,3,4,7,5,8,11,5,6,10,3,3,8,8,4,6,10,5,7,6,5,4,1,7,6,3,4,4,5,3,7,3,6,4,6,5,3,5,2,1,1,5,8,1,4,3,1,3,6,2,-1,2,1,3,1,1,-1,1,5,4,1,-5,1,-1,1,-3,1,-9,1,-77
-65,1,-1,1,1,1,-2,2,1,1,-1,1,1,1,2,4,4,1,4,3,1,-1,2,1,2,2,5,4,4,4,2,3,4,1,8,4,7,7,2,4,4,4,3,3,7,8,3,6,8,4,7,7,4,6,1,4,7,7,6,6,1,7,2,4,1,1,6,1,3,4,1,2,6,6,7,7,6,8,3,5,7,4,4,6,5,5,8,9,2,5,6,6,7,11,5,6,10,3,3,8,8,4,6,10,5,7,6,5,4,1,7,6,3,4,4,6,2,7,3,6,4,6,5,2,6,2,1,1,6,7,1,4,3,1,3,5,3,-1,2,1,3,1,1,-1,1,5,4,1,-5,1,-1,1,-3,1,-9,1,-77
-64,1,-2,1,-1,2,-1,1,1,1,1,-1,1,1,1,2,5,4,2,3,-1,3,2,1,2,-1,4,4,3,6,3,1,4,3,5,7,5,4,4,5,5,3,1,5,6,4,8,3,8,8,5,6,4,5,4,5,5,6,5,8,1,4,4,5,3,2,3,4,4,1,2,2,5,4,8,7,6,6,3,6,6,6,4,6,5,6,8,4,3,8,6,5,7,6,8,9,10,4,3,5,7,9,5,5,7,8,7,7,2,4,6,2,3,7,5,3,3,5,4,6,6,6,4,4,3,6,1,1,6,3,5,2,4,2,1,4,4,3,-1,2,2,2,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-2,1,-1,2,-1,1,1,1,1,-1,1,1,1,2,5,4,2,3,-1,3,2,1,2,-1,4,4,3,6,3,1,5,2,5,7,5,4,4,5,5,3,1,5,6,4,8,3,7,9,5,6,4,5,4,5,5,6,4,9,1,4,4,5,3,2,3,4,4,-1,3,2,5,4,8,7,6,6,4,5,6,6,4,6,5,6,8,4,3,8,6,5,7,6,8,9,10,4,3,5,6,10,5,5,7,8,7,7,2,4,6,2,3,7,5,3,3,5,4,6,6,6,5,3,3,6,1,1,6,3,5,2,4,2,1,4,4,3,-1,2,2,2,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,5,2,4,1,2,-1,3,2,-1,2,5,4,4,4,2,5,2,2,9,2,7,7,2,5,3,2,5,7,3,8,3,7,8,4,6,7,4,6,2,3,7,6,8,4,2,7,2,4,1,1,6,2,2,3,2,2,6,8,7,6,6,7,3,5,7,5,3,8,4,5,7,6,5,5,6,6,7,12,5,7,8,3,4,7,9,3,7,9,5,6,7,6,3,2,6,4,5,6,3,5,2,6,4,6,4,8,3,4,4,1,2,1,8,6,1,3,3,1,3,6,2,-1,2,2,2,1,1,-1,1,4,5,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-1,1,1,-1,3,3,6,1,4,1,2,-1,3,2,-1,3,4,4,5,3,2,5,2,4,7,3,7,4,5,5,3,1,5,5,5,8,3,8,8,4,5,6,5,4,4,5,7,3,9,4,2,6,3,2,3,4,3,3,1,3,2,4,5,7,8,7,5,5,4,5,7,3,6,5,6,7,6,5,5,7,5,6,6,11,7,5,9,4,3,7,9,3,7,9,7,6,6,3,5,5,3,2,8,4,4,4,3,8,2,6,6,4,5,4,4,1,2,5,4,6,1,3,3,1,4,5,2,-1,2,2,2,1,1,-1,1,6,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-1,1,1,-1,3,3,6,1,4,1,2,-1,3,2,-1,3,4,4,5,3,2,5,2,4,7,3,7,4,5,5,3,1,5,5,5,8,3,8,8,4,5,6,5,4,4,5,7,3,9,4,2,6,3,2,3,4,3,3,1,3,2,4,5,7,8,7,5,5,4,5,7,3,6,5,6,7,5,6,5,6,6,6,6,11,7,5,9,4,3,7,9,3,7,9,6,7,6,3,5,5,3,2,8,4,4,4,3,8,2,6,6,4,5,4,4,1,2,5,4,6,1,3,3,1,4,5,2,-1,2,2,2,1,1,-1,1,5,4,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-1,1,1,-1,3,3,6,1,4,1,2,-1,3,2,-1,3,4,4,5,3,2,5,2,4,7,3,7,4,5,5,3,1,5,5,5,8,3,8,8,4,5,6,5,4,4,5,7,3,9,4,2,6,3,2,3,4,3,4,-1,3,2,4,5,7,8,7,5,5,4,5,7,3,6,5,6,7,6,4,6,7,5,6,6,11,7,5,9,4,3,7,9,3,7,9,7,6,6,3,5,5,3,2,8,4,4,4,3,8,2,7,5,5,4,4,4,1,2,5,4,5,2,3,3,1,4,5,2,-1,2,2,2,1,1,-1,1,6,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,5,2,4,1,2,-1,3,2,-1,2,5,4,4,4,2,5,2,3,8,2,7,7,2,5,3,3,4,7,3,8,3,7,8,4,6,6,5,5,3,4,6,6,8,4,2,6,3,4,1,1,6,2,2,3,2,2,6,8,7,7,5,7,3,6,6,3,5,8,4,5,7,6,5,6,5,7,6,12,6,6,8,3,4,6,10,3,7,9,5,6,7,5,4,3,5,4,5,6,3,5,2,6,4,6,5,7,3,4,4,1,2,2,7,6,1,3,3,1,3,6,2,-1,2,2,2,-1,2,-1,1,4,5,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-1,1,1,1,1,-1,1,1,-1,3,4,5,1,4,-1,3,1,2,2,-1,3,5,3,5,4,1,5,2,4,8,5,4,4,5,5,3,1,5,6,4,8,3,9,7,5,5,5,5,3,6,5,6,5,7,4,2,5,4,3,2,4,3,4,-1,3,2,5,4,8,7,6,6,5,4,8,4,3,7,4,6,8,5,3,8,6,5,6,7,9,8,9,5,3,4,7,9,4,6,8,8,6,7,3,4,6,2,2,8,5,3,4,3,5,5,8,4,5,4,4,4,2,1,5,4,5,2,4,2,1,4,4,3,-1,2,2,2,1,1,-1,2,5,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,5,2,4,1,2,-1,3,2,-1,3,4,4,4,4,2,5,2,3,8,2,8,6,2,5,3,3,4,7,3,7,4,7,9,4,5,6,5,4,4,4,6,6,8,5,1,5,4,4,1,3,4,2,2,3,2,2,6,9,7,6,5,6,4,6,6,3,5,7,5,5,7,6,5,6,5,8,5,11,7,5,9,3,4,4,12,3,7,9,5,7,6,4,5,3,5,4,5,6,3,4,3,6,4,5,7,5,4,4,4,1,2,2,7,6,1,2,4,1,3,6,2,-1,2,2,2,-1,2,-1,1,6,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,5,2,4,1,2,-1,3,2,-1,2,5,4,4,4,2,5,2,3,8,2,7,7,2,5,3,3,4,7,3,8,3,7,8,4,6,6,5,5,3,3,7,6,8,4,2,7,2,4,1,1,6,2,2,3,2,2,6,8,7,6,6,7,3,6,6,4,4,8,4,5,7,6,5,6,5,6,7,12,6,6,8,3,4,7,9,3,7,9,5,6,7,5,4,2,6,4,5,6,3,5,2,6,4,6,5,7,3,4,4,1,2,2,7,6,1,3,3,1,3,6,2,-1,2,2,2,-1,2,-1,1,4,5,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-1,1,1,1,1,-1,1,1,-1,3,4,5,1,4,-1,3,1,2,2,-1,3,5,3,5,3,2,5,2,4,8,5,4,4,5,5,3,1,5,6,4,8,3,9,7,4,5,6,5,3,5,6,6,5,7,4,2,6,3,3,2,4,3,4,-1,3,2,4,5,8,7,7,5,5,4,8,4,3,7,4,6,8,5,3,8,6,5,5,7,10,8,7,7,3,4,7,9,4,6,8,8,6,7,3,4,6,2,2,8,5,3,4,3,5,5,8,4,5,4,4,4,2,1,5,4,5,2,3,3,1,4,5,2,-1,2,2,2,1,1,-1,2,5,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-1,1,1,-1,3,3,6,1,4,1,2,-1,3,2,-1,3,5,3,5,3,2,5,2,4,8,3,6,4,5,5,3,1,5,5,5,8,3,9,7,4,5,6,5,4,4,5,7,3,9,4,2,6,3,3,2,4,3,4,-1,3,2,4,5,7,8,6,6,5,4,5,7,3,7,4,6,7,6,4,6,7,5,6,6,11,7,8,6,3,4,7,9,4,6,9,7,6,7,3,4,5,3,2,8,4,4,5,2,7,3,8,4,5,4,3,5,1,2,5,4,5,2,3,3,1,4,5,2,-1,2,2,2,1,1,-1,1,6,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-1,1,1,-1,3,3,6,1,4,1,2,-1,3,2,-1,3,4,4,4,4,2,5,2,4,7,3,7,4,5,5,3,1,5,5,5,8,3,8,8,4,5,6,5,4,4,5,6,5,8,4,2,6,3,2,3,4,3,3,1,3,2,4,5,7,8,7,5,5,4,6,6,3,6,5,6,7,5,6,5,6,6,6,6,11,7,5,9,4,3,7,9,3,7,8,7,7,6,3,5,5,3,2,8,4,4,4,3,8,2,6,6,4,5,4,4,1,2,5,4,6,1,3,3,1,4,5,2,-1,2,2,2,1,1,-1,1,5,4,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,5,2,4,1,2,-1,3,2,-1,3,4,4,4,4,2,5,2,3,8,2,8,6,2,5,3,3,4,7,3,7,4,7,9,4,5,6,5,4,4,4,6,6,8,4,2,5,4,4,1,2,5,2,2,3,2,2,6,9,7,6,5,7,3,6,6,3,5,7,5,5,7,6,5,6,5,8,5,11,7,6,8,3,4,5,11,3,7,9,5,7,6,4,5,3,5,4,5,6,3,4,3,6,4,5,7,5,4,4,4,1,2,2,7,6,1,2,4,1,3,6,2,-1,2,2,2,-1,2,-1,1,6,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,-1,2,-1,1,1,1,1,-1,1,1,1,2,5,4,2,3,-1,3,1,2,2,-1,4,4,3,5,4,1,5,2,5,7,5,4,3,6,5,3,1,5,6,4,8,3,8,8,5,6,4,5,3,6,4,7,5,8,1,4,4,5,3,2,3,4,4,-1,3,2,5,4,8,7,7,5,5,4,7,5,4,6,5,6,8,4,3,8,6,5,7,6,8,9,9,5,4,3,7,10,5,5,7,8,6,8,2,4,6,2,3,7,5,3,3,4,5,6,6,5,6,3,4,4,2,1,5,4,5,2,4,2,1,4,4,3,-1,2,2,2,1,1,-1,2,5,3,1,-4,1,-3,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,5,2,4,1,2,-1,3,2,-1,3,4,4,4,4,2,5,2,3,8,2,7,7,2,5,3,3,4,7,3,7,4,7,9,3,6,6,5,4,4,4,6,6,8,4,2,6,3,4,1,2,5,2,2,3,2,2,6,9,7,6,5,7,3,6,6,3,5,8,4,5,7,6,5,6,5,8,5,11,7,6,8,3,4,5,11,3,7,9,5,7,6,4,5,3,5,4,5,6,3,4,3,6,4,5,6,6,4,4,4,1,2,2,7,6,1,2,4,1,3,6,2,-1,2,2,2,-1,2,-1,1,4,5,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-1,1,1,1,1,-1,1,1,-1,3,3,6,1,4,1,2,-1,3,2,-1,3,5,3,5,3,2,5,2,4,8,5,4,4,5,5,3,1,5,6,4,8,3,9,7,4,5,6,5,3,5,5,7,5,7,4,2,6,3,3,2,4,3,4,-1,3,2,4,5,8,7,6,6,5,4,8,4,3,7,4,6,8,5,3,8,6,5,5,7,11,7,8,6,3,4,7,9,4,6,9,7,6,7,3,4,5,3,2,8,5,3,4,3,5,5,8,4,5,4,4,4,2,1,5,4,5,2,3,3,1,4,5,2,-1,2,2,2,1,1,-1,2,5,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,6,1,4,1,2,-1,3,2,-1,3,4,4,4,4,2,5,2,4,7,3,7,4,5,4,3,3,4,6,4,7,4,8,8,4,5,7,4,4,4,4,6,6,8,5,1,6,3,4,1,4,3,3,1,3,2,2,7,7,8,6,5,6,4,6,6,3,5,6,6,7,5,6,5,6,6,7,5,11,7,5,9,4,3,6,10,3,7,9,5,7,7,3,5,3,5,4,6,5,3,4,3,7,3,6,6,4,5,4,4,1,2,3,6,6,1,3,3,1,3,6,2,-1,2,2,2,1,1,-1,1,6,3,1,-5,1,-2,1,-2,1,-8,1,-78
-64,1,-2,1,1,1,-2,2,1,1,-2,2,-1,3,3,5,2,4,1,2,-1,3,2,-1,3,4,4,4,4,2,5,2,3,8,3,7,4,4,5,3,3,4,6,4,7,4,8,8,4,5,7,4,4,4,4,6,6,8,5,1,6,3,4,1,4,3,3,1,3,2,2,7,8,7,6,5,6,4,6,6,3,5,7,5,7,5,6,5,6,5,8,5,11,7,5,9,3,4,4,12,3,7,9,5,7,6,4,5,3,5,4,5,6,3,4,3,7,3,6,6,4,5,4,4,1,2,2,7,6,1,3,3,1,3,5,3,-1,2,2,2,-1,2,-1,1,6,3,1,-5,1,-2,1,-2,1,-8,1,-78
