0.0000000,0.000#0.920#0.910#0.940#0.890#0.900#0.950#0.960#0.930#0.970#0.870#0.980#0.850#0.860#0.740#0.750#0.990#0.030#0.820#0.830#0.760#0.810#0.060#0.770,3.000e+00,-00000551,000000475,1,000000003,000000342,000000000,000000000
-85,1,-11,1,-4,1,2,1,-3,1,-4,3,1,-2,1,1,1,1,2,1,2,2,1,1,2,3,1,3,1,3,3,7,2,3,2,6,3,3,3,3,6,4,4,5,4,3,6,4,7,6,8,6,2,8,4,14,6,11,5,10,13,7,5,8,6,5,16,11,9,11,13,12,12,6,10,12,9,10,7,6,7,8,6,8,10,11,7,10,7,14,10,4,6,6,6,9,11,11,7,7,12,10,5,7,7,5,4,6,5,5,6,7,5,8,7,3,5,7,2,5,7,4,5,4,1,2,3,2,2,6,1,3,1,5,4,3,2,1,4,4,1,1,2,5,1,-1,1,2,3,2,1,1,2,1,-1,1,-2,1,1,1,-1,1,-6,1,-2,1,1,-12,1,-52
-86,1,-9,1,-5,2,1,-1,1,-3,1,-2,3,-2,1,-2,2,1,1,1,1,1,3,2,1,1,1,3,2,3,2,3,4,6,1,3,2,6,5,3,2,3,6,5,3,6,3,3,8,4,9,6,3,7,4,8,5,12,6,11,10,11,7,7,5,9,13,5,12,12,10,11,13,13,9,7,7,12,11,9,3,6,9,7,9,8,7,11,10,10,6,15,8,4,6,7,8,9,10,10,8,7,9,11,5,8,3,5,6,6,7,5,4,7,5,8,9,3,1,7,4,8,4,4,2,4,3,2,2,3,2,5,1,3,2,5,3,3,4,1,2,4,1,1,2,5,-2,2,2,3,2,1,1,1,1,-1,1,1,-2,1,2,-8,1,1,-2,1,-10,1,-53
-86,1,-9,1,-5,1,2,-1,1,-3,1,-2,3,-2,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,1,3,4,4,7,1,2,3,6,5,4,5,2,5,5,7,10,4,4,6,4,8,6,12,8,9,7,13,8,6,6,8,10,8,14,11,8,12,12,14,8,8,9,10,11,9,3,8,10,5,9,7,7,12,9,11,4,16,7,6,6,6,8,9,9,11,7,9,8,12,4,8,3,5,8,5,5,6,6,5,6,8,8,3,-1,8,3,9,7,2,1,4,2,3,2,3,3,4,2,2,2,5,4,2,5,-1,2,4,1,2,1,5,-2,2,2,3,2,1,1,1,1,-1,1,1,-2,2,1,-8,1,1,-2,1,-10,1,-53
-86,1,-9,1,-5,1,2,-1,1,-3,1,-2,3,-2,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,1,3,4,4,6,2,2,3,6,5,4,5,2,5,6,6,9,5,4,6,4,8,6,12,8,9,7,13,8,6,5,9,10,8,14,11,8,12,12,14,8,8,10,9,11,9,3,8,10,5,9,7,7,12,9,11,4,16,7,6,6,6,8,9,9,11,8,8,8,12,5,7,3,5,8,5,6,5,6,5,6,8,8,3,-1,8,3,9,6,3,1,4,2,3,2,3,3,4,2,2,2,5,4,2,5,-1,2,4,1,2,1,5,-2,2,2,3,2,1,1,1,1,-1,1,1,-2,2,1,-8,1,1,-2,1,-10,1,-53
-85,1,-10,1,-5,2,1,-1,1,-3,1,-2,2,1,-1,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,2,2,5,3,6,2,3,2,7,4,5,4,3,4,7,6,9,4,4,6,5,7,6,12,10,7,7,13,9,5,5,10,8,9,13,12,9,11,15,11,9,7,12,8,9,10,2,9,10,6,7,8,6,13,8,12,3,18,6,6,7,5,7,10,9,11,8,9,8,11,5,7,4,4,7,6,5,7,4,6,4,10,7,4,1,8,2,9,6,3,1,4,2,3,2,3,3,4,2,2,3,4,4,2,3,2,2,4,1,2,2,4,-2,2,2,3,2,2,-1,1,1,-1,1,1,-1,1,1,1,-8,1,1,-2,1,-10,1,-53
-85,1,-10,1,-5,2,1,-1,1,-3,1,-2,2,1,-1,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,2,2,5,3,6,2,3,2,7,4,5,4,3,4,7,6,9,4,4,6,5,7,6,12,10,7,7,13,9,5,5,10,9,8,13,12,9,11,14,12,9,7,12,8,9,10,2,9,10,6,7,8,6,13,8,12,3,18,6,6,7,5,7,10,9,11,8,8,9,11,5,7,4,4,7,6,5,7,4,6,5,9,7,4,1,8,2,9,6,3,1,4,2,3,2,3,3,4,2,2,3,4,4,2,4,1,2,4,1,2,2,4,-2,2,2,3,2,2,-1,1,1,-1,1,1,-1,1,1,1,-8,1,1,-2,1,-10,1,-53
-86,1,-9,1,-5,2,1,-1,1,-3,1,-2,3,-2,1,-2,2,1,1,1,1,1,3,2,1,1,1,3,2,3,2,3,4,6,1,3,2,6,5,3,2,3,7,4,3,6,3,3,8,4,9,6,3,6,5,8,4,13,6,11,11,10,7,7,5,9,13,5,12,12,10,11,14,12,9,6,8,12,11,9,3,6,8,8,9,8,7,11,10,10,7,14,8,4,6,6,9,9,10,10,8,7,9,11,5,8,3,5,6,6,7,5,4,7,5,8,9,3,1,7,5,7,4,4,2,4,3,2,2,3,2,5,1,3,2,5,3,3,4,1,2,4,1,1,2,5,-2,2,2,3,2,1,1,1,1,-1,1,1,-2,1,2,-8,1,1,-2,1,-10,1,-53
-85,1,-11,1,-4,1,2,1,-3,1,-4,3,1,-2,1,1,1,1,2,1,2,2,1,1,2,3,1,3,1,4,2,6,3,3,2,6,3,3,3,3,6,4,4,5,4,3,6,5,6,6,8,6,2,7,5,14,6,11,5,10,13,8,4,8,6,5,16,11,9,11,12,13,12,7,9,11,10,10,7,6,7,8,6,8,10,11,7,9,8,14,10,4,6,6,6,9,11,11,7,7,12,10,5,7,7,5,4,6,5,5,6,7,4,9,6,4,5,7,2,4,8,4,5,4,1,2,3,2,2,6,1,3,1,5,4,3,2,1,4,4,1,1,2,4,2,-1,1,1,3,3,1,1,1,2,-1,1,-2,1,1,1,-1,1,-6,1,-2,1,1,-12,1,-52
-85,1,-10,1,-5,1,2,-1,1,-3,1,-2,2,1,-1,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,1,3,4,4,7,1,3,2,6,5,4,5,2,5,6,6,10,4,4,6,4,8,6,12,8,9,7,13,9,5,6,8,10,8,14,11,9,11,14,12,9,7,11,8,11,9,3,8,10,5,9,7,7,12,9,11,4,17,6,6,7,5,8,9,9,11,8,8,8,12,4,8,3,5,8,5,5,6,6,5,6,8,8,3,-1,8,3,9,7,2,1,4,2,3,2,3,3,4,2,2,2,5,4,2,5,-1,2,4,1,2,1,5,-2,2,2,3,2,1,1,1,1,-1,1,1,-2,2,1,-8,1,1,-2,1,-10,1,-53
-85,1,-10,1,-5,1,2,-1,1,-3,1,-2,2,1,-1,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,1,3,4,4,7,1,3,2,6,5,4,5,2,5,6,6,10,4,4,6,4,8,6,12,8,9,7,13,9,5,6,8,10,8,14,11,8,12,14,12,9,7,11,8,11,9,3,8,10,5,9,7,7,12,9,11,4,16,7,6,6,6,8,9,9,11,8,8,8,12,4,8,3,5,8,5,6,5,6,5,6,8,8,3,-1,8,3,9,7,2,1,4,2,3,2,3,3,4,2,2,2,5,4,2,5,-1,2,4,1,2,1,5,-2,2,2,3,2,1,1,1,1,-1,1,1,-2,2,1,-8,1,1,-2,1,-10,1,-53
-85,1,-10,1,-5,2,1,-1,1,-3,1,-2,2,1,-1,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,2,2,5,3,7,1,3,2,7,4,5,4,3,4,6,7,9,4,4,6,5,7,5,13,9,8,7,13,9,5,5,10,9,8,13,12,10,10,14,12,9,7,12,7,10,10,3,8,10,6,7,8,7,12,8,12,4,17,6,6,7,5,7,10,9,11,8,8,9,11,5,7,4,4,7,6,5,7,4,6,5,9,7,4,1,8,2,9,6,3,1,4,2,3,2,3,3,4,2,2,3,4,4,2,5,-1,2,4,1,2,2,4,-2,2,2,3,2,2,-1,1,1,-1,1,1,-1,1,1,1,-8,1,1,-2,1,-10,1,-53
-85,1,-10,1,-5,2,1,-1,1,-3,1,-2,2,1,-1,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,1,3,4,4,8,-1,3,2,7,4,4,5,2,5,6,6,10,4,4,6,4,8,6,12,8,9,7,13,9,5,6,8,10,8,13,12,9,11,14,12,9,7,11,8,11,9,3,8,10,5,8,8,7,12,9,11,4,17,6,6,7,5,8,9,9,11,8,8,9,11,5,7,3,5,7,6,5,7,5,5,6,8,8,3,-1,9,2,9,7,2,1,4,2,3,2,3,3,4,2,2,3,4,4,2,5,-1,2,4,1,2,1,5,-2,2,2,3,2,1,1,1,1,-1,1,1,-2,2,1,-8,1,1,-2,1,-10,1,-53
-85,1,-11,1,-4,1,2,1,-3,1,-4,3,1,-2,1,1,1,-1,3,1,2,2,1,1,2,3,1,2,2,4,2,6,3,3,2,6,3,3,3,3,6,3,5,5,4,3,6,5,6,6,8,6,2,7,5,14,6,11,5,11,12,8,3,9,6,5,16,10,10,11,12,12,13,6,10,11,9,11,7,6,6,9,6,9,9,11,7,10,7,14,10,4,6,6,6,9,10,12,7,6,13,10,5,7,7,5,4,6,5,5,6,6,5,8,7,5,4,6,3,4,8,4,5,4,1,2,3,1,3,5,2,3,1,5,4,3,2,1,4,4,1,1,2,4,2,-1,1,1,3,3,1,1,1,2,-1,1,-2,1,1,1,-1,1,-6,1,-2,1,1,-12,1,-52
-85,1,-10,1,-5,2,1,-1,1,-3,1,-2,2,1,-1,1,-2,2,1,1,1,1,1,3,2,1,1,3,1,3,2,2,3,5,5,2,2,5,3,8,-1,3,2,7,4,5,4,3,4,6,7,9,4,4,6,5,7,5,13,8,9,7,13,9,5,5,9,10,8,13,12,10,10,14,12,9,7,12,7,10,10,3,8,10,5,8,8,7,12,8,12,4,17,6,6,7,5,7,10,9,11,8,8,9,11,5,7,3,5,7,6,5,7,5,5,5,9,7,4,1,8,2,9,6,3,1,4,2,3,2,3,3,4,2,2,3,4,4,2,5,-1,2,4,1,2,1,5,-2,2,2,3,2,2,-1,1,1,-1,1,1,-1,1,1,1,-8,1,1,-2,1,-10,1,-53
