0.0000000,0.000#0.500#0.510#0.380#0.490#0.060#0.070#0.080#0.050#0.090#0.100#0.920#0.910#0.110#0.960#0.890#0.900#0.040#0.290#0.460#0.770#0.780#0.800,3.000e+00,-00000532,000000440,1,000000003,000000324,000000000,000000000
-81,1,-2,1,1,-2,1,1,1,1,2,-3,1,-2,1,-1,1,1,-2,2,-1,1,-2,3,1,1,1,1,2,4,1,3,-1,1,3,2,-1,3,2,3,4,1,3,3,5,5,7,5,4,5,2,6,5,7,5,8,6,8,6,6,6,7,12,7,2,8,7,7,8,10,4,11,6,4,8,7,10,5,8,8,7,13,6,6,9,7,12,11,4,11,14,12,5,8,12,10,4,8,11,6,11,10,9,4,5,9,16,9,4,7,6,13,9,5,4,11,7,7,7,8,5,7,10,8,6,5,3,3,4,2,2,7,8,3,3,3,3,4,3,3,3,4,3,5,3,-1,1,3,-2,1,-1,2,5,2,2,3,-1,1,-1,4,1,-2,1,-5,1,1,1,3,1,-5,1,1,-1,1,-19,1,-33
-80,1,-4,2,-2,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,2,-1,1,-3,1,3,-1,2,2,-1,1,4,1,3,3,1,-1,2,-1,4,5,3,1,1,6,2,6,5,6,5,4,4,3,8,5,6,5,9,7,7,6,6,5,9,9,6,5,8,12,5,3,8,8,11,5,4,11,6,12,4,5,8,8,13,6,7,9,11,4,13,8,13,8,12,8,10,8,8,8,10,8,9,10,7,9,4,12,10,7,9,8,5,8,12,3,5,11,7,10,4,7,8,10,7,7,7,4,5,3,3,1,2,7,7,4,3,3,4,4,4,1,3,4,3,3,6,2,-2,3,-1,1,-2,3,6,2,2,1,-1,3,2,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
-80,1,-4,2,-2,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,2,-1,1,-3,1,3,-1,2,2,-1,1,4,1,3,3,1,-1,2,-1,4,4,4,2,-1,6,2,6,5,6,5,4,4,3,8,5,6,5,9,7,7,6,6,5,9,9,6,5,8,12,5,3,8,8,11,5,4,11,6,12,4,5,8,8,13,6,7,9,11,4,13,8,13,8,12,8,10,8,8,8,10,8,9,10,7,10,3,12,10,7,9,8,5,8,12,3,5,11,7,10,5,6,8,10,7,7,7,5,4,3,3,1,2,7,7,4,3,3,4,4,4,1,3,4,3,3,6,2,-2,3,-1,1,-2,3,6,2,2,1,-1,3,2,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
-81,1,-2,1,1,-2,1,1,1,1,1,1,-2,1,-2,1,-1,1,1,-2,2,-1,1,-2,3,1,1,1,1,2,4,1,3,-1,1,3,2,-1,3,2,3,4,1,3,3,5,5,7,5,4,5,2,5,6,7,5,8,6,8,6,6,6,7,12,7,2,8,6,8,8,10,4,11,6,4,8,7,10,5,8,8,7,13,6,6,9,7,12,11,4,11,14,11,6,8,12,10,3,9,11,6,11,11,8,4,5,9,16,8,5,7,6,12,10,5,4,11,7,7,7,8,5,7,10,8,6,5,3,3,4,2,2,7,8,3,3,3,3,4,3,3,3,4,3,5,3,-1,1,3,-2,1,-1,2,5,2,2,3,-1,1,-1,4,1,-2,1,-5,1,1,1,3,1,-5,1,1,-1,1,-19,1,-33
-80,1,-4,1,1,-1,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,2,-1,1,-3,1,3,-1,2,2,-1,1,4,1,3,3,1,-1,2,-1,4,4,4,1,1,6,2,6,4,7,5,3,5,3,8,6,5,6,8,6,8,6,6,5,9,9,6,5,8,12,5,3,8,8,11,6,3,11,6,12,4,5,8,7,14,6,7,10,9,5,12,9,12,9,12,7,11,8,8,8,10,9,7,10,8,10,3,12,10,7,9,7,6,8,12,2,6,10,8,8,6,7,8,10,7,7,6,4,6,3,3,1,2,6,8,4,3,3,4,4,4,1,3,4,3,4,5,2,-2,3,1,-3,3,6,2,2,1,-1,3,2,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
-80,1,-4,2,-2,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,2,-1,1,-3,1,3,-1,2,2,-1,1,4,1,3,3,1,-1,2,-1,4,4,4,2,-1,6,2,6,5,6,5,4,4,3,8,5,6,5,9,8,6,6,6,6,8,9,6,5,8,11,6,3,8,8,11,5,4,11,6,14,2,5,8,8,13,6,7,10,10,4,13,9,12,8,12,8,10,8,8,9,9,8,9,10,8,10,2,11,11,7,9,7,6,7,13,3,5,11,7,10,5,6,8,10,7,7,7,5,4,3,4,-1,2,7,7,4,3,3,5,3,4,2,2,4,3,3,6,2,-2,3,-1,1,-2,3,6,2,2,1,-1,3,2,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
-80,1,-4,2,-2,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,2,-1,1,-3,1,3,-1,2,2,-1,1,4,1,3,3,1,-1,2,-1,4,4,4,2,-1,6,2,6,5,6,5,4,4,3,8,5,6,5,9,7,7,6,6,6,8,9,6,5,8,12,5,3,8,8,11,5,4,11,6,12,4,5,8,8,13,6,7,9,11,4,13,9,12,8,12,8,10,8,8,8,10,8,9,10,7,11,2,12,10,7,9,7,6,7,13,3,5,11,7,10,5,6,8,10,7,7,7,5,4,3,3,1,2,7,7,4,3,3,4,4,4,2,2,4,3,3,6,2,-2,3,-1,1,-2,3,6,2,2,1,-1,3,2,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
-81,1,-2,1,1,-2,1,1,1,1,2,-3,1,-2,1,-1,1,1,-2,2,-1,1,-2,3,1,1,1,1,2,4,1,3,-1,1,3,2,-1,3,2,3,4,1,3,3,5,4,8,4,5,4,3,6,5,7,5,9,5,8,6,6,6,8,12,6,2,7,8,6,9,9,5,10,7,4,8,7,10,5,8,8,7,13,7,7,7,7,12,11,5,11,13,12,5,8,12,8,6,9,10,6,11,10,9,4,5,10,15,8,5,6,7,13,9,5,5,10,7,7,7,8,5,8,9,8,6,5,3,3,4,2,2,7,8,3,3,4,2,5,2,3,3,4,3,5,3,-1,1,3,-2,1,-1,2,6,1,2,3,-1,1,-1,4,1,-2,1,-5,1,2,-1,2,2,-5,1,1,-1,1,-19,1,-33
-81,1,-2,1,1,-2,1,1,-1,2,1,1,-2,1,-2,1,-1,1,1,-2,2,-1,1,-2,1,3,1,1,1,2,3,2,1,2,-1,4,1,1,3,2,1,6,1,2,5,4,6,6,3,6,3,4,6,5,6,6,8,6,9,5,4,8,6,12,4,6,8,5,8,9,9,5,8,9,4,8,5,12,7,6,5,9,13,7,5,10,7,12,11,4,10,13,14,5,7,12,10,4,8,12,8,9,11,8,5,4,13,11,8,6,7,6,9,12,6,4,11,6,7,8,4,8,9,9,8,6,4,4,4,3,-1,2,7,10,4,1,3,4,2,5,2,3,5,3,4,3,2,-1,2,1,-1,1,-1,1,4,4,2,3,-1,1,1,3,-1,1,1,-6,1,1,1,3,1,-4,1,-1,1,-1,1,-19,1,-33
-81,1,-3,2,-2,1,1,-1,2,1,1,-2,1,-2,1,-1,1,-1,1,1,1,1,-3,1,3,1,1,1,2,1,3,1,3,1,3,1,1,2,3,1,6,1,2,5,4,5,6,4,6,3,4,4,7,6,6,9,5,10,4,6,6,5,11,7,5,8,5,8,9,8,5,8,10,5,5,7,11,8,6,4,10,12,7,6,9,8,11,12,4,13,9,10,10,8,11,7,7,8,11,11,6,12,7,8,2,13,11,6,8,7,6,8,12,6,4,12,6,7,6,9,5,11,7,7,7,4,4,4,3,-1,2,8,7,6,-1,2,6,3,4,3,2,4,3,4,4,2,-1,2,1,-1,1,-2,4,5,2,2,1,1,1,3,-1,1,1,-5,1,-2,2,4,-5,1,-1,1,-1,1,-19,1,-33
-80,1,-4,2,-2,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,1,1,1,-3,1,3,-1,2,2,-1,2,3,1,3,3,1,-1,2,-1,4,4,4,1,2,5,2,7,4,7,4,4,4,2,9,6,6,5,8,8,7,6,5,7,7,9,6,5,8,10,7,5,7,6,12,5,5,11,7,12,2,6,7,10,11,7,7,10,9,7,10,10,12,8,11,8,10,7,9,7,12,8,9,9,8,10,2,10,13,9,6,8,5,7,13,4,6,10,6,10,5,6,8,11,6,6,9,4,4,3,4,-1,2,8,7,5,1,3,5,3,4,2,3,3,4,4,4,2,-1,1,2,-1,1,-2,3,6,2,2,1,1,1,3,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
-80,1,-4,2,-2,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,2,-1,1,-3,1,3,-1,2,2,-1,2,3,1,3,3,1,-1,2,-1,4,4,4,1,2,5,2,7,4,6,5,4,4,2,9,5,7,5,8,8,7,6,5,7,7,9,6,5,8,10,7,5,7,7,11,5,5,11,7,12,2,6,7,10,11,7,7,10,9,7,10,10,12,8,11,8,10,7,9,7,12,8,9,9,8,10,2,10,13,9,6,8,5,7,13,4,6,10,6,10,5,6,8,11,6,6,9,4,4,3,4,-1,2,8,7,5,1,3,5,3,4,2,3,3,4,4,4,2,-1,1,2,-1,1,-2,3,6,2,2,1,1,1,3,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
-80,1,-4,2,-2,1,1,1,1,-1,2,-2,1,-1,1,-1,1,-2,1,2,-1,1,-3,1,3,-1,2,2,-1,2,3,1,3,3,1,-1,2,-1,4,4,4,1,2,5,2,6,5,6,5,4,4,2,9,5,6,6,8,8,7,7,4,7,7,8,7,5,8,10,7,4,7,8,11,5,5,11,7,12,2,6,7,10,11,7,7,10,9,6,11,10,12,7,12,7,11,7,9,7,12,8,8,10,8,10,2,11,12,8,7,8,5,7,13,4,6,10,6,10,5,6,8,12,5,5,10,4,4,3,4,-1,2,8,7,5,1,3,5,3,4,2,2,5,3,4,4,2,-1,1,2,-1,1,-2,3,6,2,2,1,1,1,3,-1,1,1,-5,1,-2,2,2,2,-4,1,-1,1,-2,1,-19,1,-32
