0.0000000,0.000#0.260#0.390#0.210#0.400#0.200#0.290#0.370#0.380#0.110#0.130#0.220#0.230#0.240#0.270#0.070#0.140#0.250#0.280#0.360#0.080#0.090#0.100#0.120#0.150#0.180#0.190#0.300#0.350#0.410#0.050#0.170#0.310#0.320#0.330#0.420#0.040#0.160#0.430#0.550#0.020#0.030#0.060#0.340#0.530#0.010#0.570#0.560#0.620#0.920#0.590#0.950#0.490#0.510#0.640#0.880#0.910#0.930#0.480#0.600#0.610#0.650#0.900,2.000e-01,-00000029,000000034,0,000000001,000000315,000000000,000000000
-71,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,3,-1,5,-1,3,3,2,2,3,3,5,3,4,5,2,3,5,4,1,3,2,4,7,3,6,1,7,5,8,6,6,-1,5,6,5,7,-1,2,3,5,2,7,5,7,8,5,3,3,6,5,8,10,3,4,4,7,1,7,3,6,6,4,8,5,3,4,3,4,3,1,2,2,3,4,3,1,3,4,3,3,2,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-72,1,-3,1,-1,1,-3,1,-4,1,-1,2,-1,3,-2,1,-1,1,2,1,-1,3,1,2,3,3,-1,5,1,2,3,4,6,4,2,5,1,4,3,5,3,2,4,4,6,2,5,6,4,7,7,5,3,1,8,5,7,2,-1,3,5,3,4,6,6,9,7,4,1,5,6,6,12,5,3,5,3,4,5,6,3,7,4,7,5,4,4,3,4,3,3,-1,3,3,4,2,3,1,4,5,1,4,3,-1,3,-1,2,1,1,-1,1,2,3,1,3,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-16,1,-5,1,-73
-72,1,-3,1,-1,1,-3,1,-5,1,2,-1,3,-2,1,-1,1,2,1,-1,3,1,2,3,3,-1,5,1,2,3,4,6,3,3,5,1,3,4,5,2,3,3,4,7,2,5,6,4,7,7,5,3,1,8,5,7,2,-1,3,5,3,4,6,6,7,8,5,1,4,6,7,12,5,2,5,4,4,5,6,3,6,4,8,5,4,4,3,3,4,3,-1,2,4,4,2,3,1,4,5,-1,5,1,2,2,1,2,1,1,-1,1,2,3,-1,4,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-16,1,-5,1,-73
-72,1,-3,1,-1,1,-3,1,-5,1,2,-1,3,-2,1,-1,1,2,1,-1,2,2,2,3,2,1,5,1,2,3,4,6,3,3,5,1,2,5,5,2,2,4,3,8,2,5,6,4,7,6,6,3,1,7,6,6,3,-1,3,5,3,3,7,4,9,8,4,2,4,6,7,10,7,2,5,4,4,4,7,3,6,4,7,6,4,4,3,3,4,3,-1,2,4,4,2,3,1,4,5,-1,5,1,2,2,1,2,1,1,-1,1,2,3,-1,4,-1,1,-1,3,1,-1,3,-1,1,1,-3,1,-6,1,-3,1,-16,1,-5,1,-73
-72,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-1,1,-2,3,1,-1,2,2,2,3,1,2,5,1,2,2,5,4,5,3,5,1,2,5,5,2,2,4,1,8,4,5,6,2,9,4,7,4,-1,7,6,7,3,-1,2,5,4,3,5,6,9,7,4,3,4,6,5,11,8,2,4,4,5,4,4,6,5,4,7,7,3,5,2,3,5,2,1,2,2,4,4,2,1,5,3,2,4,2,2,2,1,2,1,1,-1,1,1,3,1,3,1,-1,1,3,1,-1,2,1,-1,2,-3,1,-7,1,-2,1,-16,1,-5,1,-73
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-1,1,-2,3,1,-1,2,2,2,3,1,2,5,1,2,2,5,4,5,3,5,1,2,5,5,2,2,4,1,8,4,5,6,2,9,4,7,4,-1,7,6,7,3,-1,2,5,4,3,5,6,9,7,4,3,4,6,5,11,8,2,4,4,5,4,4,6,5,4,7,7,3,5,2,3,5,2,1,2,2,4,4,2,1,5,3,2,4,2,2,2,1,2,1,1,-1,1,1,3,1,3,1,-1,1,3,1,-1,2,1,-1,2,-3,1,-7,1,-2,1,-16,1,-5,1,-74
-71,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,2,1,5,-1,3,3,2,2,3,3,5,3,4,5,2,2,6,3,2,3,2,4,7,3,4,3,7,5,8,6,5,1,5,6,5,6,1,2,3,4,3,7,5,7,8,5,3,3,6,5,7,11,3,3,5,6,2,7,3,5,7,4,8,5,2,4,3,4,4,1,2,1,4,3,4,1,2,5,3,3,2,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-72,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-1,1,-1,1,2,1,-1,2,2,2,3,2,1,5,1,2,3,4,6,3,3,5,1,2,5,5,2,2,4,3,7,3,5,6,3,8,5,7,3,1,7,5,7,3,-1,3,5,3,3,6,5,9,8,4,2,4,6,6,11,7,2,5,4,4,4,6,4,6,3,8,6,4,4,3,3,4,3,-1,2,3,4,3,3,1,4,5,-1,5,1,2,2,1,2,1,1,-1,1,2,2,1,3,1,1,-1,3,1,-1,3,-1,1,1,-3,1,-7,1,-2,1,-16,1,-5,1,-73
-72,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-1,1,-2,2,2,-1,2,2,2,3,1,2,5,1,2,2,5,4,4,4,5,1,2,5,5,2,1,4,2,7,5,5,6,2,9,4,7,4,-1,7,6,7,3,-1,2,5,4,1,7,6,8,7,5,2,5,6,4,11,8,2,5,3,6,3,5,6,5,4,7,6,4,4,3,3,5,2,1,2,2,3,5,2,1,4,4,2,4,2,2,2,1,2,1,1,-1,1,1,3,1,3,1,-1,1,2,1,1,2,1,-1,2,-3,1,-7,1,-2,1,-16,1,-5,1,-73
-72,1,-4,1,-1,1,-2,1,-5,1,-1,2,-1,3,-2,1,-1,2,1,1,1,2,1,4,1,3,2,3,2,3,3,5,3,4,5,2,2,6,3,2,3,2,4,7,3,4,3,7,5,8,6,4,2,4,7,5,6,1,2,2,5,3,6,6,6,8,5,4,3,4,7,6,12,3,3,5,6,2,7,3,5,7,4,7,6,2,4,2,5,3,2,-1,3,4,3,3,2,2,5,3,3,2,3,1,2,-1,2,1,1,1,1,2,2,2,2,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-73
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-1,1,-2,2,2,-1,2,2,2,3,1,2,5,1,2,2,5,4,4,4,5,1,2,5,5,2,1,4,2,7,5,5,6,2,9,4,7,4,-1,7,6,7,3,-1,2,5,4,1,7,6,8,7,5,2,5,6,4,11,8,2,5,3,6,3,5,6,5,4,7,6,4,4,3,3,5,2,1,2,2,3,5,2,1,4,4,2,4,2,2,2,1,2,1,1,-1,1,1,3,1,3,1,-1,1,2,1,1,2,1,-1,2,-3,1,-7,1,-2,1,-16,1,-5,1,-74
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-2,1,-1,2,1,1,2,2,2,3,1,2,4,2,2,2,5,4,4,4,5,1,2,5,5,2,1,3,3,7,5,5,3,4,8,6,6,5,-1,6,7,6,4,-1,2,5,4,1,7,6,8,7,5,2,5,5,5,11,8,2,5,3,6,2,6,4,7,4,6,7,4,4,3,3,5,2,1,2,2,3,5,2,1,4,4,2,4,2,2,2,1,2,-1,2,-1,1,1,2,2,3,1,-1,1,2,1,1,2,1,-1,1,1,-2,1,-7,1,-2,1,-16,1,-5,1,-74
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-2,1,-1,2,1,1,1,3,2,3,1,2,4,2,2,2,5,4,4,4,4,2,2,5,5,2,1,3,3,7,3,7,3,4,8,5,7,5,-1,6,7,5,5,-1,2,5,4,1,7,6,7,8,4,3,4,6,5,9,9,3,5,2,7,2,6,4,7,4,6,6,5,4,3,3,5,2,1,2,2,3,5,2,1,4,4,2,4,1,3,1,2,2,-1,2,-1,1,1,2,2,3,1,-1,1,2,1,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-71,1,-4,1,-1,1,-2,1,-5,1,2,-1,1,2,-2,1,-1,2,1,1,1,3,1,4,-1,3,4,2,1,3,4,4,3,5,4,3,2,5,5,-1,3,2,4,7,3,6,3,5,5,8,7,5,-1,5,7,4,7,-1,2,4,4,2,7,5,7,8,5,3,4,5,5,8,10,4,4,3,7,2,6,3,7,5,5,7,5,4,3,3,4,3,1,2,2,3,4,3,1,4,3,3,4,1,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-71,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,2,1,5,-1,3,3,2,2,3,3,5,3,4,5,2,2,6,3,2,3,2,4,7,3,4,3,7,5,8,6,4,2,4,7,5,6,1,2,2,5,3,7,5,7,7,6,3,3,5,6,7,11,3,3,5,6,2,7,3,5,7,4,8,5,2,4,2,5,3,2,1,2,4,3,4,1,2,5,3,3,2,3,1,2,1,1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-71,1,-4,1,-1,1,-2,1,-5,1,-1,2,-1,3,-2,1,-1,2,1,1,1,2,1,3,2,3,2,3,1,3,4,5,3,4,4,3,2,6,2,3,3,2,4,6,4,4,3,6,5,8,7,4,2,4,6,6,6,1,2,1,5,3,7,4,8,7,6,4,3,3,8,6,11,4,3,5,4,4,7,3,4,8,2,8,6,3,4,2,5,2,3,-1,3,3,4,3,2,2,4,4,2,3,3,-1,3,-1,2,1,1,1,1,1,3,2,2,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-71,1,-4,1,-1,1,-2,1,-5,1,-1,2,-1,3,-2,1,-1,2,1,1,-1,3,1,2,3,3,1,4,1,3,4,5,3,4,4,3,2,6,2,3,3,2,4,6,4,4,3,6,5,6,9,3,3,4,6,5,7,1,1,2,5,3,6,5,8,7,6,4,2,4,8,6,11,4,3,5,4,4,6,4,4,8,2,8,6,3,3,3,5,2,3,-1,3,3,4,3,2,2,4,4,2,3,3,-1,3,-1,2,1,1,1,1,1,3,2,2,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-6,1,-73
-72,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-2,1,-1,2,1,1,1,3,2,3,1,2,4,2,2,2,5,4,4,4,4,2,2,5,5,2,1,3,3,7,3,7,3,4,8,5,7,5,-1,6,7,5,5,-1,2,5,4,1,7,6,7,8,4,3,4,6,5,9,9,3,5,2,7,2,6,4,7,4,6,6,5,4,3,3,5,2,1,2,2,3,5,2,1,4,4,2,4,1,3,1,2,2,-1,2,-1,1,1,2,2,3,1,-1,1,2,1,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-73
-72,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,2,1,5,-1,3,3,2,2,3,3,5,3,4,5,2,2,6,3,2,3,2,4,7,3,4,3,7,5,8,6,4,2,4,7,5,6,1,2,2,5,3,7,5,7,7,6,3,3,5,6,7,11,3,3,5,6,2,7,3,5,7,4,8,5,2,4,2,5,3,2,1,2,4,3,4,1,2,5,3,3,2,3,1,2,1,1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-73
-73,1,-3,1,-1,1,-3,1,-4,1,-1,2,-1,3,-2,1,-1,1,2,1,-1,3,1,2,3,3,1,4,1,2,5,3,5,4,2,5,1,5,3,4,3,2,4,5,5,3,4,6,4,7,7,5,3,1,8,5,7,2,1,2,5,3,5,5,6,10,6,4,1,5,6,6,13,4,3,5,3,4,7,4,3,8,3,7,6,3,4,3,4,3,3,-1,3,3,4,3,2,2,3,5,1,4,3,-1,3,-1,2,1,1,-1,1,2,3,1,3,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-6,1,-72
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-1,1,-1,1,2,1,-1,2,2,2,3,2,1,5,1,2,3,4,6,3,3,5,1,2,5,5,2,2,4,3,7,3,5,6,3,8,5,7,3,1,7,5,7,3,-1,3,5,3,3,6,5,9,8,4,2,4,6,6,11,7,2,5,4,4,4,6,4,6,3,8,6,4,4,3,3,4,3,-1,2,3,4,3,3,1,4,5,-1,5,1,2,2,1,2,1,1,-1,1,2,2,1,3,1,1,-1,3,1,-1,3,-1,1,1,-3,1,-7,1,-2,1,-16,1,-5,1,-74
-71,1,-4,1,-1,1,-2,1,-5,1,-1,2,-1,3,-2,1,-1,2,1,1,1,2,1,4,1,3,2,3,1,4,3,5,3,4,5,2,2,6,2,3,3,2,4,7,3,4,3,6,6,7,7,4,2,4,7,5,6,1,2,1,6,2,7,5,7,8,5,4,3,4,7,6,12,3,3,5,4,4,7,3,5,7,3,8,6,2,4,2,5,3,2,-1,3,3,4,3,2,2,4,4,2,3,3,1,2,-1,2,1,1,1,1,1,3,2,2,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-72,1,-3,1,-2,1,-2,1,-5,1,2,-1,2,1,-2,1,-1,2,1,1,1,3,2,3,-1,3,4,2,2,2,5,4,3,4,5,2,2,5,5,-1,3,3,3,7,3,7,3,4,6,7,7,5,-1,5,7,6,5,-1,2,5,3,2,7,5,7,9,4,3,4,5,5,9,10,3,4,3,7,2,6,4,7,4,5,7,5,4,3,3,5,2,1,2,2,3,5,2,1,4,4,2,4,1,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,2,1,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-73
-72,1,-4,1,-1,1,-2,1,-5,1,2,-1,1,2,-2,1,-1,2,1,1,1,3,1,4,-1,3,4,2,1,3,4,4,3,5,4,3,2,5,5,-1,3,2,4,7,3,6,3,5,5,8,7,5,-1,5,7,4,7,-1,2,4,4,2,7,5,7,8,5,3,4,5,5,8,10,4,4,3,7,2,6,3,7,5,5,7,5,4,3,3,4,3,1,2,2,3,4,3,1,4,3,3,4,1,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-73
-72,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,3,-1,5,-1,3,3,2,2,3,3,5,3,4,5,2,3,5,4,1,3,2,4,7,3,6,1,7,5,8,6,6,-1,5,6,5,7,-1,2,3,5,2,7,5,7,8,5,3,3,6,5,8,10,3,4,4,7,1,7,3,6,6,4,8,5,3,4,3,4,3,1,2,2,3,4,3,1,3,4,3,3,2,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-73
-73,1,-3,1,-1,1,-3,1,-4,1,-1,2,-1,3,-2,1,-1,1,2,1,-1,3,1,2,3,3,-1,5,1,2,3,4,6,4,2,5,1,4,3,5,3,2,4,4,6,2,5,6,4,7,7,5,3,1,8,5,7,2,-1,3,5,3,4,6,6,9,7,4,1,5,6,6,12,5,3,5,3,4,5,6,3,7,4,7,5,4,4,3,4,3,3,-1,3,3,4,2,3,1,4,5,1,4,3,-1,3,-1,2,1,1,-1,1,2,3,1,3,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-16,1,-5,1,-72
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,3,-2,1,-1,1,2,1,-1,2,2,2,3,2,1,5,1,2,3,4,6,3,3,5,1,2,5,5,2,2,4,3,8,2,5,6,4,7,6,6,3,1,7,6,6,3,-1,3,5,3,3,7,4,9,8,4,2,4,6,7,10,7,2,5,4,4,4,7,3,6,4,7,6,4,4,3,3,4,3,-1,2,4,4,2,3,1,4,5,-1,5,1,2,2,1,2,1,1,-1,1,2,3,-1,4,-1,1,-1,3,1,-1,3,-1,1,1,-3,1,-6,1,-3,1,-16,1,-5,1,-74
-71,1,-4,1,-1,1,-2,1,-5,1,-1,2,-1,3,-2,1,-1,2,1,1,1,2,1,4,1,3,2,3,2,3,3,5,3,4,5,2,2,6,3,2,3,2,4,7,3,4,3,7,5,8,6,4,2,4,7,5,6,1,2,2,5,3,6,6,6,8,5,4,3,4,7,6,12,3,3,5,6,2,7,3,5,7,4,7,6,2,4,2,5,3,2,-1,3,4,3,3,2,2,5,3,3,2,3,1,2,-1,2,1,1,1,1,2,2,2,2,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-74
-73,1,-3,1,-1,1,-3,1,-5,1,2,-1,3,-2,1,-1,1,2,1,-1,3,1,2,3,3,-1,5,1,2,3,4,6,3,3,5,1,3,4,5,2,3,3,4,7,2,5,6,4,7,7,5,3,1,8,5,7,2,-1,3,5,3,4,6,6,7,8,5,1,4,6,7,12,5,2,5,4,4,5,6,3,6,4,8,5,4,4,3,3,4,3,-1,2,4,4,2,3,1,4,5,-1,5,1,2,2,1,2,1,1,-1,1,2,3,-1,4,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-16,1,-5,1,-72
-73,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,2,1,5,-1,3,3,2,2,3,3,5,3,4,5,2,2,6,3,2,3,2,4,7,3,4,3,7,5,8,6,4,2,4,7,5,6,1,2,2,5,3,7,5,7,7,6,3,3,5,6,7,11,3,3,5,6,2,7,3,5,7,4,8,5,2,4,2,5,3,2,1,2,4,3,4,1,2,5,3,3,2,3,1,2,1,1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-72
-71,1,-3,1,-1,1,-3,1,-4,1,-1,2,-1,3,-2,1,-1,1,2,1,-1,3,1,2,3,3,-1,5,1,2,3,4,6,4,2,5,1,4,3,5,3,2,4,4,6,2,5,6,4,7,7,5,3,1,8,5,7,2,-1,3,5,3,4,6,6,9,7,4,1,5,6,6,12,5,3,5,3,4,5,6,3,7,4,7,5,4,4,3,4,3,3,-1,3,3,4,2,3,1,4,5,1,4,3,-1,3,-1,2,1,1,-1,1,2,3,1,3,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-16,1,-5,1,-74
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,3,-2,1,-1,1,2,1,-1,3,1,2,3,3,-1,5,1,2,3,4,6,3,3,5,1,3,4,5,2,3,3,4,7,2,5,6,4,7,7,5,3,1,8,5,7,2,-1,3,5,3,4,6,6,7,8,5,1,4,6,7,12,5,2,5,4,4,5,6,3,6,4,8,5,4,4,3,3,4,3,-1,2,4,4,2,3,1,4,5,-1,5,1,2,2,1,2,1,1,-1,1,2,3,-1,4,-1,1,-1,3,1,-1,3,-1,1,1,-2,1,-7,1,-3,1,-16,1,-5,1,-74
-71,1,-3,1,-1,1,-3,1,-5,1,2,-1,2,1,-1,1,-1,1,2,1,-1,2,2,2,3,2,1,5,1,2,2,5,6,3,3,5,1,2,5,5,2,2,4,2,8,3,5,6,3,8,4,8,3,-1,7,6,7,3,-1,3,4,4,3,6,5,9,7,5,2,4,6,6,10,8,2,5,4,4,4,5,5,6,3,8,6,4,4,2,4,4,2,1,2,3,3,4,2,1,5,3,2,5,1,2,2,1,2,1,1,-1,1,1,3,1,3,1,-1,1,3,1,-1,3,-2,2,-3,1,-7,1,-2,1,-16,1,-5,1,-74
-72,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,2,1,5,-1,3,3,2,2,3,3,5,3,4,5,2,2,6,3,2,3,2,4,7,3,4,3,7,5,8,6,5,1,5,6,5,6,1,2,3,4,3,7,5,7,8,5,3,3,6,5,7,11,3,3,5,6,2,7,3,5,7,4,8,5,2,4,3,4,4,1,2,1,4,3,4,1,2,5,3,3,2,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-73
-73,1,-4,1,-1,1,-2,1,-5,1,1,1,-1,3,-2,1,-1,2,1,1,1,3,-1,5,-1,3,3,2,2,3,3,5,3,4,5,2,3,5,4,1,3,2,4,7,3,6,1,7,5,8,6,6,-1,5,6,5,7,-1,2,3,5,2,7,5,7,8,5,3,3,6,5,8,10,3,4,4,7,1,7,3,6,6,4,8,5,3,4,3,4,3,1,2,2,3,4,3,1,3,4,3,3,2,3,1,2,2,-1,1,1,1,1,2,2,3,1,-1,1,-1,3,1,1,2,-1,1,1,-2,1,-7,1,-3,1,-15,1,-5,1,-72
