1.8849556,0.000#0.310#0.320#0.150#0.160#0.170#0.180#0.330#0.340#0.350#0.360#0.370#0.380#0.390#0.400#0.440#0.470#0.480#0.490#0.530#0.140#0.190#0.200#0.210#0.220#0.230#0.260#0.270#0.280#0.290#0.300#0.410#0.420#0.460#0.500#0.130#0.240#0.250#0.450#0.510#0.070#0.100#0.110#0.120#0.550#0.560#0.570#0.580#0.590#0.600#0.610#0.620#0.630#0.660#0.670#0.680#0.690#0.750#0.760#0.770#0.850#0.860#0.870#0.880#0.890#0.900#0.040#0.050#0.060#0.080#0.090#0.640#0.650#0.700#0.710#0.720#0.730#0.740#0.780#0.790#0.800#0.820#0.830#0.840#0.910#0.810#0.030#0.920#0.930#0.010#0.020#0.950#0.960#0.970,6.667e-02,-00000011,000000010,0,000000001,000000315,000000000,000000000
-140,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,4,-1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-101
-140,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,2,2,2,1,2,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,-1,4,-1,2,1,5,2,-6,1,-5,1,-2,1,-3,1,-101
-140,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,3,1,1,-3,4,2,1,-1,4,2,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-101
-141,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,1,2,-3,4,2,-1,1,3,3,2,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-4,1,-100
-141,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,1,3,1,3,4,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-100
-141,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,1,3,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,2,-1,3,1,3,4,1,3,1,2,1,4,3,-6,1,-5,1,-2,1,-3,1,-100
-142,1,-3,1,-4,1,1,1,-2,3,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,2,4,-1,1,1,1,3,1,2,5,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-99
-142,1,-4,1,-3,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,1,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-99
-142,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-99
-143,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-98
-137,1,-3,1,-4,1,1,1,-2,3,1,-1,1,-3,1,1,3,2,1,2,1,1,1,-2,4,2,-1,1,2,2,4,-1,1,1,1,3,1,2,5,2,2,1,2,2,4,1,-6,1,-5,1,-1,1,-4,1,-104
-138,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,1,2,-3,4,2,-1,1,3,3,2,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-4,1,-103
-138,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,1,3,1,3,4,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-103
-138,1,-3,1,-4,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,2,-1,1,2,2,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-103
-138,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-103
-138,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,3,1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-103
-139,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,1,1,2,1,2,-3,4,2,-1,1,3,2,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-102
-139,1,-3,1,-4,1,1,1,-2,3,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,2,4,-1,1,1,1,3,1,2,5,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-102
-139,1,-4,1,-3,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,1,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-102
-139,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-102
-139,1,-4,1,-4,2,1,-2,1,2,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,1,3,-1,3,-1,5,2,-6,1,-5,1,-2,1,-3,1,-102
-141,1,-3,1,-4,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,2,-1,1,2,2,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-100
-141,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-100
-142,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,1,1,2,1,2,-3,4,2,-1,1,3,2,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-99
-142,1,-4,1,-4,2,1,-2,1,2,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,1,3,-1,3,-1,5,2,-6,1,-5,1,-2,1,-3,1,-99
-137,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-104
-138,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,1,3,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,2,-1,3,1,3,4,1,3,1,2,1,4,3,-6,1,-5,1,-2,1,-3,1,-103
-138,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-103
-141,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-100
-142,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,1,1,3,1,2,5,1,2,2,2,1,4,2,1,-5,1,-5,1,-2,1,-3,1,-99
-136,1,-3,1,-4,1,1,1,-2,3,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,2,4,-1,1,1,1,3,1,2,5,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-105
-136,1,-4,1,-4,2,1,-2,1,2,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,1,3,-1,3,-1,5,2,-6,1,-5,1,-2,1,-3,1,-105
-136,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,1,1,3,1,2,5,1,2,2,2,1,4,2,1,-5,1,-5,1,-2,1,-3,1,-105
-137,1,-3,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-105
-143,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-98
-143,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,4,-1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-98
-143,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,2,2,2,1,2,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,-1,4,-1,2,1,5,2,-6,1,-5,1,-2,1,-3,1,-98
-143,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,3,1,1,-3,4,2,1,-1,4,2,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-98
-144,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,1,2,-3,4,2,-1,1,3,3,2,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-4,1,-97
-144,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,1,3,1,3,4,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-97
-144,1,-3,1,-4,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,2,-1,1,2,2,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-97
-144,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-97
-144,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,3,1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-97
-145,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,1,1,2,1,2,-3,4,2,-1,1,3,2,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-96
-145,1,-3,1,-4,1,1,1,-2,3,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,2,4,-1,1,1,1,3,1,2,5,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-96
-145,1,-4,1,-3,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,1,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-96
-145,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-96
-146,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-95
-146,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,4,-1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-95
-146,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,2,2,2,1,2,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,-1,4,-1,2,1,5,2,-6,1,-5,1,-2,1,-3,1,-95
-147,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-94
-148,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,1,1,2,1,2,-3,4,2,-1,1,3,2,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-93
-148,1,-3,1,-4,1,1,1,-2,3,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,2,4,-1,1,1,1,3,1,2,5,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-93
-148,1,-4,1,-3,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,1,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-93
-148,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-93
-148,1,-4,1,-4,2,1,-2,1,2,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,1,3,-1,3,-1,5,2,-6,1,-5,1,-2,1,-3,1,-93
-135,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,1,3,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,2,-1,3,1,3,4,1,3,1,2,1,4,3,-6,1,-5,1,-2,1,-3,1,-106
-135,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-106
-136,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,1,1,2,1,2,-3,4,2,-1,1,3,2,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-105
-136,1,-4,1,-3,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,1,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-105
-136,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-105
-144,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,1,3,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,2,-1,3,1,3,4,1,3,1,2,1,4,3,-6,1,-5,1,-2,1,-3,1,-97
-144,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-97
-145,1,-4,1,-4,2,1,-2,1,2,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,1,3,-1,3,-1,5,2,-6,1,-5,1,-2,1,-3,1,-96
-145,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,1,1,3,1,2,5,1,2,2,2,1,4,2,1,-5,1,-5,1,-2,1,-3,1,-96
-146,1,-3,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-96
-146,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-95
-146,1,-3,1,-4,1,1,1,-2,3,1,-1,1,-3,1,1,3,2,1,2,1,1,1,-2,4,2,-1,1,2,2,4,-1,1,1,1,3,1,2,5,2,2,1,2,2,4,1,-6,1,-5,1,-1,1,-4,1,-95
-146,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,3,1,1,-3,4,2,1,-1,4,2,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-95
-147,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,1,2,-3,4,2,-1,1,3,3,2,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-4,1,-94
-147,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,1,3,1,3,4,2,2,2,1,2,4,1,-6,1,-5,1,-1,1,-4,1,-94
-147,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-94
-147,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,3,1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-94
-147,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,1,3,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,2,-1,3,1,3,4,1,3,1,2,1,4,3,-6,1,-5,1,-2,1,-3,1,-94
-148,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,1,2,1,1,-2,1,3,2,1,-1,4,2,2,-1,1,1,3,1,2,5,1,2,2,2,1,4,2,1,-5,1,-5,1,-2,1,-3,1,-93
-147,1,-3,1,-4,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,2,-1,1,2,2,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-94
-135,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,3,1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-106
-149,1,-3,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,-1,4,2,-1,2,2,1,-3,4,2,1,-1,3,3,2,-1,1,1,3,1,2,3,3,2,2,2,1,4,2,1,-6,1,-4,1,-2,1,-3,1,-93
-149,1,-3,1,-4,1,1,1,-1,1,2,1,-1,1,-3,2,-1,4,1,1,2,1,2,-3,4,2,-1,1,2,3,3,-1,1,1,2,2,1,4,3,2,2,2,1,4,2,1,-6,1,-5,1,-1,1,-4,1,-92
-135,1,-3,1,-4,1,1,1,-2,3,1,-2,1,-2,1,1,2,3,1,2,1,1,1,-2,4,2,-1,1,2,2,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-106
-135,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-106
-149,1,-4,1,-3,1,1,1,-2,3,-1,1,-1,1,-2,1,1,2,3,1,2,1,1,1,-2,3,2,1,1,1,3,4,-1,1,1,-1,4,1,2,5,2,2,1,2,1,5,1,-6,1,-5,1,-2,1,-3,1,-92
-149,1,-4,1,-4,2,1,-2,3,-1,1,-1,1,-2,1,1,2,2,2,2,1,1,1,-2,2,3,1,1,1,3,3,1,1,1,-1,4,-1,3,5,1,3,1,2,1,4,2,-6,1,-5,1,-2,1,-3,1,-92
-149,1,-4,1,-4,1,2,-2,1,2,1,-1,1,-2,1,1,2,2,2,1,2,1,1,-2,1,4,1,1,-1,4,3,1,1,1,-1,3,1,3,5,-1,4,-1,2,1,5,2,-6,1,-5,1,-2,1,-3,1,-92
