1.8849556,0.000#0.520#0.530#0.470#0.480#0.490#0.540#0.450#0.460#0.500#0.510#0.550#0.560#0.570#0.580#0.590#0.070#0.090#0.140#0.150#0.440#0.600#0.610#0.730#0.740#0.770#0.780#0.080#0.110#0.120#0.130#0.430#0.620#0.650#0.720#0.750#0.760#0.020#0.030#0.040#0.050#0.060#0.170#0.390#0.400#0.410#0.420#0.630#0.010#0.100#0.160#0.180#0.370#0.380#0.660#0.680#0.700#0.710#0.230#0.270#0.280#0.640#0.670#0.220#0.260#0.290#0.300#0.330#0.860#0.870#0.880#0.890#0.920#0.930#0.940#0.950#0.960#0.190#0.200#0.210#0.240#0.250#0.340#0.350#0.360#0.800#0.980#0.990#0.310,6.667e-02,-00000009,000000012,0,000000001,000000315,000000000,000000000
-107,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,2,5,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,2,1,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-122
-107,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,3,3,4,1,3,5,2,6,3,3,1,2,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-122
-107,1,-11,1,-8,1,-1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,5,5,4,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,2,1,1,-12,1,-121
-108,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,4,3,4,1,1,7,1,6,4,2,1,3,3,3,7,4,6,-1,1,-2,2,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-121
-108,1,-10,1,-9,1,1,-1,2,4,2,3,-1,2,4,2,2,2,5,4,1,-1,8,-1,7,3,3,1,2,3,4,6,5,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-121
-108,1,-10,1,-9,1,1,-1,1,4,3,1,2,2,3,2,3,2,4,5,-1,1,6,2,5,5,3,1,2,3,3,4,8,6,-1,1,-2,1,2,2,1,1,3,3,-1,2,1,2,-1,1,1,-1,3,-1,3,1,-12,1,-121
-100,1,-11,1,-8,1,1,-2,5,2,1,3,2,2,2,4,1,5,2,3,1,4,4,4,5,3,2,1,2,5,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-129
-100,1,-11,1,-8,1,1,-2,3,4,1,3,1,3,2,3,2,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,7,4,3,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-129
-101,1,-11,1,-8,1,1,-2,4,3,1,3,2,2,2,4,1,5,2,3,1,3,5,3,6,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-128
-101,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,3,3,4,1,3,5,2,6,3,3,1,2,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-128
-106,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,3,4,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,3,1,-1,2,3,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-123
-108,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,1,5,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-121
-108,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,5,2,3,1,3,5,2,7,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,3,3,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-121
-110,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,2,4,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-119
-110,1,-11,1,-8,1,1,-2,4,3,1,3,2,2,2,4,1,5,2,3,1,3,5,3,6,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-119
-111,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,4,3,4,1,1,7,1,6,4,2,1,3,3,3,7,4,6,-1,1,-2,2,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-118
-111,1,-10,1,-9,1,1,-1,2,4,2,3,-1,2,4,2,2,2,5,4,1,-1,8,-1,7,3,3,1,2,3,4,6,5,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-118
-100,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,4,3,3,1,3,5,2,6,4,2,1,2,5,4,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-129
-101,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,2,5,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,2,1,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-128
-101,1,-10,1,-9,1,1,-1,1,4,3,1,2,2,4,1,3,2,5,4,-1,1,8,-1,6,4,3,1,2,3,3,6,6,6,-1,1,-2,1,2,2,1,1,3,3,-1,2,1,2,-1,1,1,1,2,1,2,1,-12,1,-128
-101,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,2,4,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-128
-105,1,-11,1,-9,1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,2,1,3,4,4,6,5,4,1,-2,1,1,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-123
-108,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,3,2,3,3,4,1,3,5,2,6,3,3,-1,3,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-121
-109,1,-10,1,-9,1,1,-1,1,4,3,2,1,2,4,2,2,2,5,4,-1,1,8,-1,6,4,3,1,2,3,4,5,6,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,1,2,1,2,1,-12,1,-120
-110,1,-10,1,-9,1,1,-1,1,4,3,1,2,2,4,1,3,2,5,4,-1,1,8,-1,6,4,3,1,2,3,3,6,6,6,-1,1,-2,1,2,2,1,1,3,3,-1,2,1,2,-1,1,1,1,2,1,2,1,-12,1,-119
-110,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,3,3,4,1,3,5,2,6,3,3,1,2,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-119
-110,1,-11,1,-8,1,-1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,5,5,4,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,2,1,1,-12,1,-118
-99,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,3,2,3,3,4,1,3,5,2,6,3,3,-1,3,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-130
-99,1,-11,1,-9,1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,2,1,3,4,4,6,5,4,1,-2,1,1,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-129
-100,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,3,4,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,3,1,-1,2,3,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-129
-100,1,-10,1,-9,1,1,-1,1,4,3,2,1,2,4,2,2,2,5,4,-1,1,8,-1,6,4,3,1,2,3,4,5,6,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,1,2,1,2,1,-12,1,-129
-100,1,-10,1,-9,1,1,-2,5,3,1,2,2,3,2,3,2,4,3,2,1,5,3,5,4,4,1,2,3,3,4,8,5,1,1,-2,1,2,2,1,1,3,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-129
-102,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,4,3,4,1,1,7,1,6,4,2,1,3,3,3,7,4,6,-1,1,-2,2,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-127
-105,1,-10,1,-9,1,1,-1,1,4,3,1,2,2,3,2,3,2,4,5,-1,1,6,2,5,5,3,1,2,3,3,4,8,6,-1,1,-2,1,2,2,1,1,3,3,-1,2,1,2,-1,1,1,-1,3,-1,3,1,-12,1,-124
-105,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,1,5,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-124
-105,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,5,2,3,1,3,5,2,7,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,3,3,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-124
-105,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,3,2,3,3,4,1,3,5,2,6,3,3,-1,3,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-124
-108,1,-11,1,-9,1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,2,1,3,4,4,6,5,4,1,-2,1,1,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-120
-99,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,5,2,3,1,3,5,2,7,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,3,3,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-130
-100,1,-11,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,3,3,3,4,1,1,7,1,7,3,2,1,3,4,2,8,3,6,-1,1,-2,2,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-128
-101,1,-11,1,-8,1,-1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,5,5,4,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,2,1,1,-12,1,-127
-102,1,-10,1,-9,1,1,-1,2,4,2,3,-1,2,4,2,2,2,5,4,1,-1,8,-1,7,3,3,1,2,3,4,6,5,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-127
-105,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,4,3,4,1,1,7,1,6,4,2,1,3,3,3,7,4,6,-1,1,-2,2,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-124
-105,1,-10,1,-9,1,1,-1,2,4,2,3,-1,2,4,2,2,2,5,4,1,-1,8,-1,7,3,3,1,2,3,4,6,5,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-124
-109,1,-10,1,-9,1,1,-2,5,3,1,2,2,3,2,3,2,4,3,2,1,5,3,5,4,4,1,2,3,3,4,8,5,1,1,-2,1,2,2,1,1,3,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-120
-109,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,4,3,3,1,3,5,2,6,4,2,1,2,5,4,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-120
-109,1,-11,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,3,3,3,4,1,1,7,1,7,3,2,1,3,4,2,8,3,6,-1,1,-2,2,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-119
-110,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,2,5,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,2,1,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-119
-102,1,-11,1,-9,1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,2,1,3,4,4,6,5,4,1,-2,1,1,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-126
-103,1,-11,1,-8,1,1,-2,5,2,1,3,2,2,2,4,1,5,2,3,1,4,4,4,5,3,2,1,2,5,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-126
-103,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,4,3,3,1,3,5,2,6,4,2,1,2,5,4,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-126
-109,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,3,4,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,3,1,-1,2,3,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-120
-109,1,-11,1,-8,1,1,-2,5,2,1,3,2,2,2,4,1,5,2,3,1,4,4,4,5,3,2,1,2,5,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-120
-102,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,3,2,3,3,4,1,3,5,2,6,3,3,-1,3,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-127
-103,1,-10,1,-9,1,1,-2,5,3,1,2,2,3,2,3,2,4,3,2,1,5,3,5,4,4,1,2,3,3,4,8,5,1,1,-2,1,2,2,1,1,3,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-126
-103,1,-11,1,-8,1,1,-2,3,4,1,3,1,3,2,3,2,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,7,4,3,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-126
-103,1,-11,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,3,3,3,4,1,1,7,1,7,3,2,1,3,4,2,8,3,6,-1,1,-2,2,3,1,-1,2,4,1,1,1,1,2,1,-1,1,2,1,2,1,1,-12,1,-125
-104,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,2,4,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-125
-112,1,-10,1,-9,1,1,-2,5,3,1,2,2,3,2,3,2,4,3,2,1,5,3,5,4,4,1,2,3,3,4,8,5,1,1,-2,1,2,2,1,1,3,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-117
-112,1,-11,1,-8,1,1,-2,5,2,1,3,2,2,2,4,1,5,2,3,1,4,4,4,5,3,2,1,2,5,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-117
-112,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,4,3,3,1,3,5,2,6,4,2,1,2,5,4,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-117
-112,1,-11,1,-8,1,1,-2,3,4,1,3,1,3,2,3,2,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,7,4,3,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-117
-113,1,-10,1,-9,1,1,-1,1,4,3,1,2,2,4,1,3,2,5,4,-1,1,8,-1,6,4,3,1,2,3,3,6,6,6,-1,1,-2,1,2,2,1,1,3,3,-1,2,1,2,-1,1,1,1,2,1,2,1,-12,1,-116
-113,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,2,4,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-116
-113,1,-11,1,-8,1,1,-2,4,3,1,3,2,2,2,4,1,5,2,3,1,3,5,3,6,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-116
-113,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,3,3,4,1,3,5,2,6,3,3,1,2,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-116
-113,1,-11,1,-8,1,-1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,5,5,4,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,2,1,1,-12,1,-115
-102,1,-10,1,-9,1,1,-1,1,4,3,1,2,2,3,2,3,2,4,5,-1,1,6,2,5,5,3,1,2,3,3,4,8,6,-1,1,-2,1,2,2,1,1,3,3,-1,2,1,2,-1,1,1,-1,3,-1,3,1,-12,1,-127
-102,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,1,5,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-127
-102,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,5,2,3,1,3,5,2,7,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,3,3,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-127
-103,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,3,4,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,3,1,-1,2,3,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-126
-103,1,-10,1,-9,1,1,-1,1,4,3,2,1,2,4,2,2,2,5,4,-1,1,8,-1,6,4,3,1,2,3,4,5,6,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,1,2,1,2,1,-12,1,-126
-104,1,-11,1,-8,1,1,-2,4,3,1,3,2,2,2,4,1,5,2,3,1,3,5,3,6,3,2,1,2,5,4,8,4,2,1,-2,1,2,2,1,-1,4,2,1,2,1,-1,2,1,-1,1,3,-1,3,-1,1,-11,1,-125
-104,1,-11,1,-8,1,1,-2,3,4,1,3,2,2,2,4,1,3,3,4,1,3,5,2,6,3,3,1,2,4,5,8,3,3,1,-2,1,1,3,1,-1,2,4,1,2,1,-1,2,1,-1,1,2,1,3,-1,1,-11,1,-125
-104,1,-11,1,-8,1,-1,1,-1,3,4,1,3,1,3,2,2,3,3,3,4,1,2,6,1,7,3,3,-1,3,4,5,5,5,4,1,-2,1,1,3,1,-1,2,4,1,1,2,-1,2,1,-1,1,2,1,2,1,1,-12,1,-124
-111,1,-10,1,-9,1,1,-2,5,3,-1,3,2,2,3,3,1,5,2,3,1,4,4,5,4,4,1,2,2,4,4,8,5,1,1,-2,1,2,2,1,-1,4,2,1,2,1,2,-1,1,-1,1,3,-1,3,-1,1,-11,1,-118
-114,1,-10,1,-9,1,1,-1,2,4,2,3,-1,2,4,2,2,2,5,4,1,-1,8,-1,7,3,3,1,2,3,4,6,5,6,-1,1,-2,1,2,2,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-115
-114,1,-10,1,-9,1,1,-1,1,4,3,1,2,2,3,2,3,2,4,5,-1,1,6,2,5,5,3,1,2,3,3,4,8,6,-1,1,-2,1,2,2,1,1,3,3,-1,2,1,2,-1,1,1,-1,3,-1,3,1,-12,1,-115
-104,1,-10,1,-9,1,1,-1,3,4,1,3,-1,2,4,2,2,2,5,4,1,1,7,1,6,4,2,1,2,3,4,7,4,6,-1,1,-2,2,2,1,1,1,4,2,1,1,1,2,-1,1,1,2,1,1,2,1,-12,1,-125
