1.8849556,0.000#0.030#0.040#0.050#0.060#0.070#0.330#0.310#0.340#0.350#0.360#0.010#0.020#0.370#0.080#0.520#0.470#0.480#0.500#0.530#0.570#0.580#0.090#0.190#0.380#0.100#0.180#0.200#0.210#0.230#0.280#0.450#0.460#0.490#0.590#0.750#0.160#0.170#0.220#0.270#0.430#0.600#0.720#0.740#0.120#0.140#0.150#0.240#0.250#0.260#0.400#0.420#0.710#0.730#0.760#0.810#0.830#0.950#0.110#0.130#0.620#0.690#0.700#0.770#0.800#0.940#0.650#0.670#0.680,4.000e-02,-00000006,000000006,0,000000001,000000300,000000000,000000000
-91,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-62
-82,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-71
-83,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-70
-91,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-62
-84,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-69
-95,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-58
-94,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-59
-94,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-59
-95,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-58
-95,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-58
-96,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-57
-97,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-56
-84,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-69
-87,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-66
-92,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-61
-85,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-68
-87,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-66
-87,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-66
-87,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-66
-88,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-65
-89,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-64
-93,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-60
-94,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-59
-94,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-59
-97,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-56
-101,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-52
-86,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-67
-86,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-67
-88,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-65
-89,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-64
-93,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-60
-97,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-56
-100,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-53
-101,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-52
-85,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-68
-86,1,-3,1,-5,1,-3,1,-1,2,-5,1,2,1,-1,1,1,1,2,-1,1,1,1,-3,4,1,-1,6,2,1,1,1,3,-1,3,-1,1,-1,2,3,3,2,5,4,1,2,4,6,1,5,5,5,2,-1,2,7,4,5,4,9,6,4,2,4,-1,6,2,6,7,10,4,4,6,3,4,4,7,4,3,3,3,5,4,5,6,7,7,4,1,5,3,4,2,2,2,-1,3,2,1,2,3,-1,2,6,4,4,-1,1,-1,1,4,1,1,-2,1,1,2,-7,1,1,-6,1,-67
-86,1,-3,1,-5,1,-3,1,-1,1,1,-4,1,2,1,-2,2,-1,2,1,1,1,1,-3,3,2,-1,5,2,2,1,-1,2,2,3,-1,1,-1,2,2,3,3,3,3,4,1,3,7,1,4,6,6,1,1,2,5,4,6,5,8,6,5,2,2,2,6,2,4,5,11,6,5,5,3,4,2,8,5,4,2,4,3,5,5,6,6,8,4,1,6,2,4,3,2,2,-1,2,2,1,2,2,2,2,1,9,2,2,-1,1,1,4,1,1,-2,1,1,1,1,-6,1,-1,1,-5,1,-67
-88,1,-3,1,-6,1,-3,1,1,1,-4,1,2,1,-2,1,1,1,2,-1,2,1,-3,2,3,-1,3,4,2,1,-1,2,2,-1,3,-1,1,2,2,3,3,1,4,5,1,2,7,2,4,4,7,2,1,2,1,8,6,3,8,6,5,2,3,3,3,5,2,7,6,11,2,7,2,5,3,7,5,3,3,4,4,5,3,6,6,7,6,2,4,4,3,3,2,3,-1,2,2,1,1,3,2,2,1,8,3,2,-1,1,1,2,2,2,-2,1,-1,1,2,-7,1,1,-5,1,-65
-88,1,-4,1,-5,1,-3,1,-1,2,-4,1,2,-1,1,-1,1,1,1,2,-1,2,1,-3,2,2,1,1,5,3,1,-1,2,2,-1,3,-1,1,-1,4,2,3,1,5,5,1,1,8,2,3,4,6,3,2,2,1,7,3,6,7,5,7,3,3,3,2,5,3,5,8,10,3,5,4,4,4,4,6,5,3,3,4,5,2,5,6,9,5,4,1,6,4,3,2,1,2,-1,3,2,1,3,2,-1,3,5,5,3,-1,1,1,1,3,2,-3,1,1,2,-7,1,1,-5,1,-65
