3.1415926,0.000#0.680#0.690#0.700#0.820#0.650#0.670#0.800#0.810#0.660#0.710#0.640#0.730#0.770#0.830#0.720#0.740#0.790#0.840#0.850#0.630,4.000e+01,-00006080,000006160,1,000000040,000000306,000000000,000000000
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,1,2,-3,4,-1,1,1,-1,1,-1,2,1,2,2,2,1,2,3,5,2,1,-1,2,4,6,3,2,2,5,4,3,4,3,5,2,8,7,10,8,8,5,6,7,10,11,9,6,9,4,5,10,7,13,10,7,8,10,11,5,12,15,11,9,8,10,12,8,8,13,13,6,13,10,10,12,15,4,11,9,4,13,14,10,15,9,9,7,10,2,8,9,11,6,6,8,9,4,7,7,5,3,8,6,8,4,7,4,3,6,4,3,5,1,5,3,4,1,2,4,3,4,1,2,5,2,2,1,3,4,1,3,1,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,1,2,1,-1,1,1,-2,2,-1,2,1,-3,4,-1,1,1,-1,1,-1,2,1,2,2,2,1,2,3,5,2,1,-1,4,2,6,3,2,2,5,4,3,4,3,5,2,8,8,9,6,10,5,6,8,9,10,10,4,11,4,5,9,8,15,8,7,8,8,13,4,13,15,11,7,10,8,14,8,8,16,10,6,13,9,11,13,14,5,10,9,4,12,15,11,14,7,11,7,10,2,8,9,11,6,6,7,10,4,7,7,5,4,7,9,5,4,7,3,4,5,5,5,3,2,4,5,2,1,2,4,3,3,2,3,4,3,1,1,3,4,1,3,1,4,1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,1,2,-3,4,-1,1,1,-1,1,-1,2,1,2,2,1,2,2,3,5,2,1,-1,2,4,6,3,2,2,6,3,3,4,3,5,2,8,8,9,8,8,5,6,7,10,11,9,5,10,4,4,11,7,13,10,7,8,9,12,4,13,14,12,9,8,11,11,8,8,13,13,6,13,10,10,12,15,6,9,9,4,15,12,10,15,8,10,7,10,3,7,8,12,5,7,8,9,4,7,7,5,3,8,6,8,4,7,4,3,6,4,4,4,1,5,3,4,1,2,4,3,4,1,2,5,2,2,1,3,4,1,2,2,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,2,1,-3,4,-1,1,1,-1,1,-1,2,1,2,2,1,2,2,3,6,1,1,-1,2,4,6,3,2,2,6,3,3,4,3,5,2,8,8,9,8,8,5,6,8,9,11,9,5,10,4,4,11,7,13,10,7,8,9,12,4,13,13,13,10,7,11,11,9,7,12,14,6,13,11,9,10,17,6,9,10,3,12,15,11,14,8,10,6,11,3,7,7,13,5,7,9,8,4,7,7,5,2,9,6,8,5,6,4,3,6,3,5,4,1,5,3,4,1,2,4,3,4,1,2,5,2,2,1,3,3,2,2,2,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,2,1,-3,4,-1,1,1,-2,1,2,1,2,2,-1,3,2,3,7,-1,1,-1,3,3,4,5,2,2,6,3,3,4,4,4,2,8,8,9,6,9,6,6,9,8,12,8,5,10,3,5,9,9,14,9,7,8,7,14,4,13,13,13,10,7,12,10,9,7,11,15,8,11,10,10,11,16,5,10,9,4,13,14,11,14,9,9,7,10,3,7,7,13,5,7,8,9,5,6,7,5,2,9,8,6,5,6,4,3,6,3,5,4,1,5,3,4,1,2,5,2,4,1,2,5,1,3,1,3,3,2,1,3,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,1,2,-3,4,-1,1,1,-1,1,-1,2,1,2,2,1,2,2,3,5,2,1,-1,2,4,6,3,2,2,6,3,3,4,3,5,2,8,7,10,8,8,5,6,7,10,11,9,6,9,4,5,10,7,13,10,7,8,9,12,5,12,15,11,9,8,11,11,8,8,13,13,6,13,10,10,12,15,5,10,9,4,14,13,10,15,9,9,7,10,3,7,9,11,5,7,8,9,4,7,7,5,3,8,6,8,4,7,4,3,6,4,3,5,1,5,3,4,1,2,4,3,4,1,2,5,2,2,1,3,4,1,3,1,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,1,2,-3,4,-1,1,1,-1,1,-1,2,1,2,2,1,2,2,3,5,2,1,-1,2,4,6,3,2,2,6,3,3,4,3,5,2,8,8,9,8,8,5,6,8,9,11,9,5,10,4,4,11,7,13,10,7,8,9,12,4,13,13,13,9,8,11,11,8,8,13,13,6,13,10,10,13,14,6,9,9,4,14,13,10,15,8,10,7,10,3,7,8,12,5,7,9,8,4,7,7,5,3,8,6,8,4,7,4,3,6,4,4,4,1,5,3,4,1,2,4,3,4,1,2,5,2,2,1,3,4,1,2,2,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,2,1,-3,4,-1,1,1,-1,1,-1,2,1,2,2,-1,3,2,3,6,1,1,-1,3,3,5,4,2,2,6,3,3,4,3,5,2,8,8,9,8,8,5,6,8,9,12,8,5,10,3,5,11,7,13,10,7,8,8,13,4,13,13,13,10,7,11,11,9,7,11,15,6,13,11,9,11,16,6,9,9,4,13,14,11,14,8,10,7,10,3,7,7,13,5,7,9,8,5,6,7,5,2,9,7,7,5,6,4,3,6,3,4,5,1,5,3,4,1,2,5,2,4,1,2,5,2,2,1,3,3,2,2,2,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,2,1,-3,4,-1,1,1,-2,1,2,1,2,2,-1,3,2,3,7,-1,1,-1,3,3,4,5,2,2,6,3,3,4,4,4,2,8,8,9,6,9,6,6,9,8,12,8,5,10,3,5,9,9,14,9,7,8,7,14,4,13,13,13,10,7,12,10,9,7,11,15,8,11,10,10,11,16,5,10,7,6,13,14,11,14,9,9,7,10,3,7,7,13,5,7,9,8,5,6,7,5,2,9,8,6,5,6,4,3,6,3,5,4,2,4,3,4,1,2,5,2,4,1,2,5,1,3,2,2,3,2,1,3,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,2,1,1,-1,1,1,-2,2,-1,2,1,-3,4,-1,1,1,-2,1,2,1,2,2,-1,3,2,3,7,-1,1,-1,3,3,4,5,2,2,6,3,3,4,4,4,2,8,8,9,6,9,6,6,9,8,12,8,5,10,3,5,9,9,14,9,7,8,7,14,4,13,13,13,10,7,15,7,9,7,11,15,7,12,9,11,12,15,5,10,7,6,13,14,10,15,9,9,6,11,3,7,7,13,5,7,9,8,5,6,6,6,2,9,8,6,5,6,4,3,6,3,5,4,2,4,3,4,2,1,5,2,4,1,3,4,1,3,2,2,3,2,1,3,5,-1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
-45,1,-13,1,-7,2,1,2,1,-1,1,1,-2,2,-1,2,1,-3,4,-1,1,1,-1,1,-1,2,1,2,2,2,1,2,3,5,2,1,-1,4,2,7,2,2,2,5,4,3,4,3,5,3,7,8,9,6,10,5,6,8,9,11,9,4,11,3,6,9,8,15,8,7,8,8,13,4,13,15,11,7,10,8,14,9,7,16,10,6,13,9,11,13,14,4,11,9,4,12,15,11,14,8,10,8,9,2,8,9,12,5,6,7,10,4,7,7,5,4,7,9,5,4,7,3,4,5,5,5,3,2,4,5,2,1,2,4,3,3,2,3,4,3,1,1,3,4,1,3,1,4,1,2,2,1,-1,1,-10,1,-1,1,1,-2,1,-2,1,-4,1,-2,1,-59
