1.8849556,0.000#0.760#0.410#0.860#0.420#0.430#0.850#0.400#0.480#0.530#0.870#0.360#0.490#0.520#0.640#0.710#0.720#0.750#0.790#0.350#0.440#0.470#0.340#0.390#0.450#0.780#0.120#0.310#0.320#0.330#0.240#0.300#0.370,3.571e-02,-00000005,000000006,0,000000001,000000308,000000000,000000000
-68,1,-3,1,1,1,-5,1,2,1,1,-2,1,-1,1,1,1,3,2,1,1,-1,1,1,-1,2,1,2,2,2,2,3,4,1,2,2,3,1,1,-1,5,5,5,4,7,3,6,8,8,2,4,3,7,4,8,6,6,6,6,7,7,9,6,8,6,9,13,7,10,17,8,8,20,8,9,9,5,8,11,10,9,9,7,8,5,6,5,11,5,13,10,9,12,8,6,7,5,5,12,10,17,8,7,4,7,4,5,7,5,4,4,6,1,5,3,8,2,5,5,2,4,4,3,4,4,1,3,3,6,1,2,2,2,-2,2,4,-1,2,2,-1,1,-2,1,-1,1,-1,1,1,-3,1,1,-4,1,1,-4,1,-7,1,1,-59
-90,1,-3,1,1,1,-4,1,1,2,1,-3,1,1,1,-1,3,2,2,1,-2,2,-1,2,1,1,2,2,3,3,4,1,2,2,3,1,1,-1,3,7,4,4,6,5,5,7,10,1,4,3,7,5,6,5,8,5,8,5,7,10,5,8,8,5,12,8,11,16,10,10,18,6,13,7,6,7,10,10,10,7,8,9,7,6,4,10,5,12,12,8,11,8,7,8,5,5,11,8,13,14,8,5,6,3,7,5,6,4,4,5,3,4,2,7,5,4,4,4,2,5,3,4,4,2,3,3,3,4,1,3,-1,2,-1,1,3,2,2,1,1,1,-2,1,-2,1,-1,1,1,-2,1,-1,1,-3,1,1,-4,1,-7,1,1,-38
-80,1,-3,1,1,1,-4,1,1,2,-1,1,-2,1,-1,1,1,2,3,2,-1,1,-1,2,-1,2,1,-1,3,2,3,3,3,2,2,2,2,2,-1,1,3,7,4,3,7,4,5,5,12,2,2,3,5,9,3,7,7,7,6,4,8,11,5,7,8,5,12,10,10,14,9,14,12,12,12,6,7,8,8,9,10,8,7,8,11,4,5,8,6,13,11,8,11,6,9,9,4,5,12,8,12,16,8,5,4,4,8,4,5,6,1,8,3,3,3,5,6,5,2,5,3,4,4,2,6,2,2,4,1,6,1,2,1,2,-1,1,3,2,2,1,1,1,-2,1,-2,1,-1,1,1,-2,1,-1,1,-4,2,-4,1,-7,1,1,-48
-92,1,-4,2,1,-5,1,1,2,1,-2,1,-1,1,1,-1,4,2,1,1,-1,1,1,-1,2,1,2,2,2,2,3,4,1,2,2,3,1,1,-1,5,5,4,5,7,3,6,7,9,1,5,3,6,5,8,4,7,7,6,7,5,11,6,7,7,9,10,7,13,15,9,9,19,8,10,9,5,8,8,11,10,8,7,10,5,6,5,10,5,14,10,7,12,8,8,6,6,5,12,8,17,10,6,5,7,4,5,7,5,3,4,7,1,5,2,7,4,5,4,3,4,4,3,4,4,1,3,3,5,2,2,2,1,1,-1,2,4,-1,2,2,-1,1,-2,1,-1,1,-1,1,1,-3,1,1,-4,1,1,-4,1,-7,1,1,-35
-80,1,-3,1,1,1,-4,1,1,1,1,1,-2,1,-1,1,1,2,3,2,-1,1,-1,2,-1,1,2,-1,2,2,4,2,3,2,3,1,2,2,1,1,-1,6,5,5,4,7,5,6,8,5,3,3,4,9,2,9,4,7,6,5,8,10,7,6,8,4,12,11,9,9,16,11,12,13,9,9,8,7,7,13,8,7,9,8,9,4,5,7,10,7,14,8,9,10,10,5,6,6,10,8,12,15,8,6,4,6,5,4,8,6,2,6,4,2,5,4,7,5,2,4,4,4,4,2,4,3,1,6,1,5,1,2,2,2,-1,1,2,3,-1,3,1,1,-2,1,-2,1,-1,1,1,-3,1,1,-4,1,1,-3,1,-8,2,-48
-80,1,-4,2,1,-5,1,1,2,1,-2,1,-1,1,1,-1,4,2,1,1,-1,1,1,-1,2,1,2,2,2,2,3,4,1,2,2,3,1,1,-1,5,5,5,4,7,3,6,7,9,1,5,3,7,4,8,5,7,6,6,7,5,11,6,8,6,9,11,7,12,16,9,8,20,8,9,9,5,8,11,10,8,9,7,9,5,6,5,11,5,13,10,7,13,8,7,6,6,5,12,10,16,9,7,4,7,4,5,7,5,3,4,7,1,5,3,7,3,5,4,3,4,4,3,4,4,1,3,3,6,1,2,2,2,-2,2,4,-1,2,2,-1,1,-2,1,-1,1,-1,1,1,-3,1,1,-4,1,1,-4,1,-7,1,1,-47
-92,1,-3,1,1,1,-4,1,1,1,1,1,-2,1,-1,1,1,2,3,2,-1,1,-1,2,-2,3,-1,2,2,4,2,3,2,3,1,2,2,1,1,-1,6,5,5,4,7,4,7,7,6,3,3,4,8,2,10,4,7,6,5,8,8,8,7,8,4,12,11,9,8,17,11,11,14,8,10,8,7,6,14,8,7,9,8,8,5,5,6,11,7,14,8,9,10,9,6,6,6,7,10,12,16,7,7,4,6,5,4,8,5,3,6,4,2,5,4,7,4,3,4,4,4,4,2,4,3,1,5,2,5,1,2,2,2,-1,1,1,4,-1,3,1,1,-2,1,-2,1,-1,1,1,-3,1,1,-4,1,1,-4,1,-7,1,1,-35
-80,1,-3,1,2,-5,1,1,2,1,-3,1,1,1,-1,4,1,2,1,-2,2,-1,2,1,2,1,2,3,3,4,1,2,2,3,1,1,-1,5,5,4,5,6,4,5,7,10,1,4,4,6,5,6,5,8,5,8,7,5,11,5,8,7,6,11,9,11,16,9,10,19,7,11,9,5,8,8,10,11,6,9,8,7,6,4,10,5,13,11,8,11,8,8,7,5,5,13,6,14,14,7,5,6,3,7,6,6,3,4,5,3,5,2,6,5,4,4,4,2,6,2,5,3,2,3,3,5,2,1,3,1,1,-1,1,4,1,2,2,-1,1,-2,1,-1,1,-2,1,1,-2,1,1,-4,1,1,-4,1,-7,1,1,-48
-82,1,-3,1,1,1,-4,1,1,2,1,-3,1,-1,1,1,2,3,2,1,-2,2,-1,2,1,-1,3,2,3,3,3,2,2,2,3,1,-1,1,3,7,4,3,7,4,6,4,13,1,2,4,5,8,5,5,7,7,6,7,5,11,5,8,8,4,12,10,10,14,11,12,13,11,12,6,7,8,8,11,9,8,7,7,11,4,5,9,5,13,12,8,10,7,9,9,3,5,13,7,12,16,8,5,4,4,8,5,4,6,3,6,3,4,2,5,6,5,2,6,2,4,4,2,6,2,2,4,3,4,1,2,1,2,-1,1,3,2,2,1,1,1,-2,1,-2,1,-1,1,1,-2,1,-1,1,-3,1,1,-4,1,-7,1,1,-46
-83,1,-3,1,1,1,-4,1,1,1,1,1,-2,1,-1,1,1,1,4,2,-1,1,-1,2,-2,3,-1,2,2,3,2,4,2,2,2,1,3,1,1,-1,5,6,5,4,7,4,7,6,7,3,3,4,8,2,10,4,7,6,5,8,8,8,7,8,4,11,12,9,8,17,11,8,17,8,9,9,6,7,13,9,7,9,8,8,5,5,6,10,7,14,9,9,10,9,5,7,6,7,10,12,15,7,8,4,6,5,4,8,5,3,6,4,2,5,3,8,4,3,4,3,4,5,2,4,3,1,4,3,5,1,2,2,2,-1,1,1,4,-1,3,1,1,-2,1,-2,1,-1,1,1,-3,1,1,-4,1,1,-4,1,-7,1,1,-44
