0.0000000,0.000#0.170#0.180#0.260#0.270#0.280#0.290#0.300#0.310#0.320#0.330#0.340#0.350#0.360#0.600#0.610#0.700#0.710#0.720#0.730#0.740#0.750#0.760#0.770#0.780#0.120#0.130#0.140#0.160#0.190#0.200#0.210#0.220#0.230#0.240#0.250#0.370#0.380#0.570#0.580#0.590#0.620#0.790#0.800#0.810#0.820#0.830#0.840#0.850#0.860#0.870#0.880#0.890#0.900#0.910#0.010#0.020#0.030#0.040#0.050#0.060#0.070#0.080#0.090#0.100#0.110#0.150#0.390#0.400#0.410#0.420#0.430#0.440#0.450#0.460#0.470#0.480#0.490#0.500#0.510#0.520#0.530#0.540#0.550#0.560#0.630#0.640#0.650#0.660#0.670#0.680#0.690#0.920#0.930#0.940#0.950#0.960#0.970,6.667e-02,-00000010,000000011,0,000000001,000000315,000000000,000000000
-90,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-103
-92,1,-8,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,1,-5,1,-8,1,-5,1,-2,1,-101
-93,1,-7,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-7,1,-1,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-101
-94,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-99
-94,1,-8,2,-2,1,-2,1,-19,1,-9,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-99
-94,1,-8,2,-2,1,-2,1,-19,1,-9,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-5,1,-3,1,-99
-94,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-6,1,-2,1,-99
-94,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,2,-5,1,1,-5,1,-7,1,-6,1,-2,1,-99
-95,1,-7,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,1,-5,1,-8,1,-5,1,-2,1,-99
-95,1,-7,1,1,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-3,1,-1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-99
-95,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-98
-95,1,-8,2,-2,1,-2,1,-19,1,-9,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-98
-95,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-5,1,-3,1,-98
-95,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-6,1,-2,1,-98
-99,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-94
-99,1,-8,2,-2,1,-2,1,-19,1,-9,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-94
-100,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,2,-5,1,1,-5,1,-7,1,-6,1,-2,1,-93
-101,1,-7,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,1,-5,1,-8,1,-5,1,-2,1,-93
-101,1,-7,1,1,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-3,1,-1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-93
-101,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-92
-101,1,-8,2,-2,1,-2,1,-19,1,-9,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-92
-101,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-5,1,-3,1,-92
-101,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-6,1,-2,1,-92
-101,1,-8,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,1,-5,1,-8,1,-5,1,-2,1,-92
-102,1,-7,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-7,1,-1,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-92
-92,1,-7,1,1,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-3,1,-1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-102
-92,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-101
-92,1,-8,2,-2,1,-2,1,-19,1,-9,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-101
-92,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-6,1,-2,1,-101
-93,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-101
-93,1,-8,2,-2,1,-2,1,-19,1,-9,2,-3,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-100
-93,1,-8,2,-2,1,-2,1,-19,1,-9,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-17,1,-4,1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-3,1,-100
-93,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,2,-1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-4,1,-1,1,-5,1,-7,1,-5,1,-3,1,-100
-93,1,-8,2,-2,1,-2,1,-20,1,-8,1,1,-2,1,1,1,-6,1,-2,1,-1,1,-18,1,-3,1,1,-2,2,-5,1,1,-5,1,-7,1,-6,1,-2,1,-100
-94,1,-7,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,1,-5,1,-8,1,-5,1,-2,1,-100
-94,1,-7,1,1,-2,1,-2,1,-19,1,-9,2,-3,2,1,-7,1,-2,1,1,-18,1,-3,1,-1,1,-2,2,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-100
-95,1,-8,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,1,-5,1,-8,1,-5,1,-2,1,-98
-96,1,-7,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-7,1,-1,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,-1,1,-4,1,-8,1,-5,1,-2,1,-98
-98,1,-8,1,1,-1,1,-2,1,-20,1,-9,2,-3,2,1,-6,1,-2,1,-1,1,-18,1,-3,1,-1,1,-1,1,1,-4,1,1,-5,1,-8,1,-5,1,-2,1,-95
