0.0000000,0.000#0.740#0.750#0.900#0.910#0.920#0.930#0.830#0.890#0.940#0.950#0.280#0.290#0.300#0.760#0.820#0.850#0.870#0.250#0.260#0.270#0.310#0.640#0.650#0.720#0.730#0.770#0.810#0.840#0.860#0.880#0.960#0.170#0.180#0.710#0.780#0.800#0.660#0.670#0.680#0.010#0.150#0.160#0.190#0.220#0.230#0.240#0.320#0.330#0.340#0.030#0.040#0.130#0.140#0.210#0.410#0.420#0.020#0.070#0.080#0.100#0.110#0.120#0.200#0.350#0.400#0.430#0.440#0.600#0.620#0.050#0.060#0.090#0.370#0.450#0.590#0.610#0.470#0.480#0.490#0.500#0.520#0.530#0.540#0.570#0.580#0.510#0.550,1.000e-01,-00000017,000000016,0,000000001,000000330,000000000,000000000
-97,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,2,-1,1,2,-4,2,2,-1,2,2,1,-2,3,3,1,1,3,2,-1,1,-1,1,2,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,1,4,2,1,1,3,1,1,-1,1,-2,3,3,2,4,2,-2,3,1,1,-2,2,1,1,-2,2,1,-2,1,1,-2,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-75
-90,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,2,4,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,2,2,3,-1,4,-1,2,4,2,1,3,1,1,-1,1,-2,2,4,1,3,4,-2,3,-1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-82
-90,1,-8,1,-8,1,-17,1,-1,1,-5,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,-1,4,1,-2,2,4,-1,1,3,3,-1,1,-2,1,4,2,2,1,2,2,2,1,3,2,2,3,-1,4,-1,2,4,2,-1,4,1,1,-1,1,-2,2,4,-1,3,5,-2,3,-1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-1,1,-1,1,1,-11,1,-82
-90,1,-8,1,-8,1,-17,1,-2,1,-4,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,2,4,-1,1,-2,1,4,2,1,1,2,2,3,-1,4,1,3,1,2,4,-1,2,4,2,-1,4,-1,2,-2,1,-1,2,4,-1,3,5,-2,2,1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,1,-11,1,-82
-95,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,1,1,1,-3,2,2,-1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,3,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,3,3,1,5,2,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,1,-1,1,-11,1,-77
-95,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,3,1,1,-1,1,3,2,1,1,4,1,1,-2,1,4,1,2,1,1,3,3,-1,3,1,4,1,2,2,2,2,4,1,1,4,-1,1,1,-1,1,-1,2,3,1,2,5,1,-1,1,2,2,-2,1,1,1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-77
-96,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,2,-1,1,2,-4,2,2,-1,2,2,1,-2,3,3,1,1,3,2,-1,1,-1,1,2,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,1,4,2,1,1,3,1,1,-1,1,-2,3,3,2,4,2,-2,3,1,1,-2,2,1,1,-2,2,1,-2,1,1,-2,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-76
-96,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,3,1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,2,4,1,4,3,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-76
-90,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,2,-1,1,2,-4,2,2,-1,2,2,1,-2,3,3,1,1,3,2,-1,1,-1,1,2,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,1,4,2,1,1,3,1,1,-1,1,-2,3,3,2,4,2,-2,3,1,1,-2,2,1,1,-2,2,1,-2,1,1,-2,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-82
-90,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,1,1,1,-3,2,2,-1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,3,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,3,3,1,5,2,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,1,-1,1,-11,1,-82
-90,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,3,1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,2,4,1,4,3,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-82
-90,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,1,4,1,1,-2,1,4,2,1,1,1,3,3,-1,4,1,3,1,2,4,-1,2,4,1,1,4,-1,1,1,-1,1,-1,2,4,-1,2,6,-2,1,2,2,-2,1,2,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-82
-93,1,-9,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,2,1,-2,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,3,2,1,-2,1,2,2,3,1,1,3,1,2,3,1,4,-1,3,2,2,1,4,2,1,3,1,1,1,-1,1,-1,1,2,3,2,5,1,-1,1,2,1,1,-2,2,1,1,-1,1,1,1,-2,2,-3,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-78
-94,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,2,-1,1,2,-4,2,2,-1,2,2,1,-2,3,3,1,1,3,2,-1,1,-1,1,2,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,1,4,2,1,1,3,1,1,-1,1,-2,3,3,2,4,2,-2,3,1,1,-2,2,1,1,-2,2,1,-2,1,1,-2,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-78
-94,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,3,1,1,-1,1,3,2,1,1,4,1,1,-2,1,4,1,2,1,1,3,3,-1,3,1,4,1,2,2,2,2,4,1,1,4,-1,1,1,-1,1,-1,2,3,1,2,5,1,-1,1,2,2,-2,1,1,1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-78
-94,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,4,1,1,-2,1,3,2,2,1,1,3,3,-1,3,1,4,-1,3,2,2,2,3,2,1,3,1,1,1,-1,1,-1,1,4,1,2,5,1,-1,1,2,2,-3,2,1,1,-1,1,1,1,-1,1,1,-2,1,-3,1,1,-5,1,-1,1,1,-1,1,-11,1,-77
-95,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,3,1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,2,4,1,4,3,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-77
-95,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,1,4,1,1,-2,1,4,2,1,1,1,3,3,-1,4,1,3,1,2,4,-1,2,4,1,1,4,-1,1,1,-1,1,-1,2,4,-1,2,6,-2,1,2,2,-2,1,2,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-77
-95,1,-9,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,2,1,-2,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,3,2,1,-2,1,2,2,3,1,1,3,1,2,3,1,4,-1,3,2,2,1,4,2,1,3,1,1,1,-1,1,-1,1,2,3,2,5,1,-1,1,2,1,1,-2,2,1,1,-1,1,1,1,-2,2,-3,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-76
-96,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,1,1,1,-3,2,2,-1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,3,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,3,3,1,5,2,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,1,-1,1,-11,1,-76
-96,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,2,4,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,2,2,3,-1,4,-1,2,4,2,1,3,1,1,-1,1,-2,2,4,1,3,4,-2,3,-1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-76
-97,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,1,1,1,-3,2,2,-1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,3,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,3,3,1,5,2,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,1,-1,1,-11,1,-75
-89,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,3,1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,2,4,1,4,3,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-83
-89,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,2,4,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,2,2,3,-1,4,-1,2,4,2,1,3,1,1,-1,1,-2,2,4,1,3,4,-2,3,-1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-83
-94,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,1,4,1,1,-2,1,4,2,1,1,1,3,3,-1,4,1,3,1,2,4,-1,2,4,1,1,4,-1,1,1,-1,1,-1,2,4,-1,2,6,-2,1,2,2,-2,1,2,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-78
-95,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,2,4,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,2,2,3,-1,4,-1,2,4,2,1,3,1,1,-1,1,-2,2,4,1,3,4,-2,3,-1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-77
-95,1,-8,1,-8,1,-17,1,-2,1,-4,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,2,4,-1,1,-2,1,4,2,1,1,2,2,3,-1,4,1,3,1,2,4,-1,2,4,2,-1,4,-1,2,-2,1,-1,2,4,-1,3,5,-2,2,1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,1,-11,1,-77
-94,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,1,1,1,-3,2,2,-1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,3,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,3,3,1,5,2,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,1,-1,1,-11,1,-78
-94,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,3,1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,2,4,1,4,3,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-78
-94,1,-8,1,-8,1,-16,1,-2,1,-5,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,2,2,1,-2,2,4,1,1,2,3,-1,1,-2,2,3,2,2,1,2,2,2,2,2,2,2,3,-1,4,-1,2,4,2,1,3,1,1,-1,1,-2,2,4,1,3,4,-2,3,-1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,-1,1,1,-11,1,-78
-87,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,1,4,1,1,-2,1,4,2,1,1,1,3,3,-1,4,1,3,1,2,4,-1,2,4,1,1,4,-1,1,1,-1,1,-1,2,4,-1,2,6,-2,1,2,2,-2,1,2,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-85
-89,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,2,-1,1,2,-4,2,2,-1,2,2,1,-2,3,3,1,1,3,2,-1,1,-1,1,2,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,1,4,2,1,1,3,1,1,-1,1,-2,3,3,2,4,2,-2,3,1,1,-2,2,1,1,-2,2,1,-2,1,1,-2,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-83
-89,1,-8,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,1,2,-2,1,1,1,1,1,-3,2,2,-1,2,2,1,-2,3,3,1,1,2,3,-1,1,-2,3,2,2,2,1,2,2,2,3,1,4,-1,3,-1,4,-1,3,3,2,1,3,1,1,-1,1,-2,3,3,1,5,2,-2,3,1,1,-2,2,1,1,-2,2,-1,1,-1,1,1,-2,1,-3,2,-5,1,-1,1,1,-1,1,-11,1,-83
-89,1,-8,1,-8,1,-17,1,-1,1,-5,1,2,1,-2,3,-2,1,1,-1,1,2,-3,1,2,1,-1,4,1,-2,2,4,-1,1,3,3,-1,1,-2,1,4,2,2,1,2,2,2,1,3,2,2,3,-1,4,-1,2,4,2,-1,4,1,1,-1,1,-2,2,4,-1,3,5,-2,3,-1,2,-2,2,1,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-1,1,-1,1,1,-11,1,-83
-89,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,3,1,1,-1,1,3,2,1,1,4,1,1,-2,1,4,1,2,1,1,3,3,-1,3,1,4,1,2,2,2,2,4,1,1,4,-1,1,1,-1,1,-1,2,3,1,2,5,1,-1,1,2,2,-2,1,1,1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-83
-89,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,4,1,1,-2,1,3,2,2,1,1,3,3,-1,3,1,4,-1,3,2,2,2,3,2,1,3,1,1,1,-1,1,-1,1,4,1,2,5,1,-1,1,2,2,-3,2,1,1,-1,1,1,1,-1,1,1,-2,1,-3,1,1,-5,1,-1,1,1,-1,1,-11,1,-82
-89,1,-9,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,2,1,-2,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,3,2,1,-2,1,2,2,3,1,1,3,1,2,3,1,4,-1,3,2,2,1,4,2,1,3,1,1,1,-1,1,-1,1,2,3,2,5,1,-1,1,2,1,1,-2,2,1,1,-1,1,1,1,-2,2,-3,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-82
-90,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,3,1,1,-1,1,3,2,1,1,4,1,1,-2,1,4,1,2,1,1,3,3,-1,3,1,4,1,2,2,2,2,4,1,1,4,-1,1,1,-1,1,-1,2,3,1,2,5,1,-1,1,2,2,-2,1,1,1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-82
-90,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,4,1,1,-2,1,3,2,2,1,1,3,3,-1,3,1,4,-1,3,2,2,2,3,2,1,3,1,1,1,-1,1,-1,1,4,1,2,5,1,-1,1,2,2,-3,2,1,1,-1,1,1,1,-1,1,1,-2,1,-3,1,1,-5,1,-1,1,1,-1,1,-11,1,-81
-90,1,-9,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,2,1,-2,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,3,2,1,-2,1,2,2,3,1,1,3,1,2,3,1,4,-1,3,2,2,1,4,2,1,3,1,1,1,-1,1,-1,1,2,3,2,5,1,-1,1,2,1,1,-2,2,1,1,-1,1,1,1,-2,2,-3,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-81
-87,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,4,1,1,-2,1,3,2,2,1,1,3,3,-1,3,1,4,-1,3,2,2,2,3,2,1,3,1,1,1,-1,1,-1,1,4,1,2,5,1,-1,1,2,2,-3,2,1,1,-1,1,1,1,-1,1,1,-2,1,-3,1,1,-5,1,-1,1,1,-1,1,-11,1,-84
-87,1,-9,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,2,1,-2,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,3,2,1,-2,1,2,2,3,1,1,3,1,2,3,1,4,-1,3,2,2,1,4,2,1,3,1,1,1,-1,1,-1,1,2,3,2,5,1,-1,1,2,1,1,-2,2,1,1,-1,1,1,1,-2,2,-3,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-84
-88,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,4,1,1,-2,1,3,2,2,1,1,3,3,-1,3,1,4,-1,3,2,2,2,3,2,1,3,1,1,1,-1,1,-1,1,4,1,2,5,1,-1,1,2,2,-3,2,1,1,-1,1,1,1,-1,1,1,-2,1,-3,1,1,-5,1,-1,1,1,-1,1,-11,1,-83
-88,1,-9,1,-7,1,-17,1,-2,1,-5,1,2,1,-1,2,1,-2,2,-1,1,2,-3,1,1,2,-1,2,2,1,-1,1,2,3,1,1,3,2,1,-2,1,2,2,3,1,1,3,1,2,3,1,4,-1,3,2,2,1,4,2,1,3,1,1,1,-1,1,-1,1,2,3,2,5,1,-1,1,2,1,1,-2,2,1,1,-1,1,1,1,-2,2,-3,1,-2,1,1,-5,1,-1,1,1,-1,1,-11,1,-83
-89,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,1,4,1,1,-2,1,4,2,1,1,1,3,3,-1,4,1,3,1,2,4,-1,2,4,1,1,4,-1,1,1,-1,1,-1,2,4,-1,2,6,-2,1,2,2,-2,1,2,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-83
-91,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,4,1,-2,1,4,1,1,1,4,1,1,-2,1,4,2,1,1,1,3,3,-1,4,1,3,1,2,4,-1,2,4,1,1,4,-1,1,1,-1,1,-1,2,4,-1,2,6,-2,1,2,2,-2,1,2,-1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-81
-91,1,-9,1,-7,1,-17,1,-2,1,-5,2,2,-2,3,-3,2,-1,1,2,-3,1,2,1,-1,3,1,1,-1,1,3,2,1,1,4,1,1,-2,1,4,1,2,1,1,3,3,-1,3,1,4,1,2,2,2,2,4,1,1,4,-1,1,1,-1,1,-1,2,3,1,2,5,1,-1,1,2,2,-2,1,1,1,1,-1,2,-1,1,-1,1,1,-2,1,-3,1,1,-4,1,-2,1,1,-1,1,-10,1,-81
